      1992  1 2164040.60   48.738-129.233 10.0       5.700
      1992  1 2194145.00    5.638 -73.832134.0       5.800
      1992  1 3 2 515.00   -7.545 130.109 27.0       5.000
      1992  1 3 33920.50  -48.965 123.462 10.0       5.400
      1992  1 3 95544.80    3.501 122.715556.0       5.100
      1992  1 4 05659.10   66.628 -94.766 18.0       5.200
      1992  1 4 33521.60   31.954  69.991 29.0       5.000
      1992  1 5113846.80   35.497 140.237 72.0       5.200
      1992  1 5171421.00   40.873  71.172 16.0       5.000
      1992  1 611 725.20  -17.139-176.814 22.0       5.200
      1992  1 6142814.70    0.683 123.336 58.0       5.300
      1992  1 6204412.40   33.459 138.643 21.0       4.700
      1992  1 6205439.40   14.108 146.639 44.0       5.100
      1992  1 62126 1.20   -6.261 146.417116.0       5.300
      1992  1 714 855.10   -4.390 132.713 40.0       5.000
      1992  1 7172555.60   45.773 151.181 44.0       5.200
      1992  1 7185937.50   -9.683 119.580107.0       5.000
      1992  1 818 442.60   15.551 -95.233 22.0       5.000
      1992  1 9134525.90   36.377  22.765 28.0       5.000
      1992  1 91539 4.10   -9.003-109.355 10.0       5.200
      1992  1 9191619.80   -4.657 133.323 25.0       5.000
      1992  1 9212854.80   -3.490 135.924 33.0       5.100
      1992  110 038 8.20   13.642 120.817144.0       5.100
      1992  110 7 3 2.50  -13.352 -76.463 52.0       5.000
      1992  110144619.10    2.316 127.442 20.0       5.000
      1992  110203523.20  -56.080 -24.435 33.0       5.200
      1992  111 61655.90    9.311  86.964 22.0       5.700
      1992  111105815.50  -18.555-177.503500.0       5.100
      1992  111193751.90  -55.614 -25.221 33.0       4.900
      1992  112 01227.10   39.671  98.300 22.0       5.400
      1992  112 739 6.50   -6.914 154.121109.0       5.000
      1992  1121829 2.10   -8.948 124.298 63.0       5.300
      1992  112205158.30  -32.981-179.798438.0       5.000
      1992  113 93743.70  -20.930-178.717575.0       5.700
      1992  1131140 9.90   17.958 121.635 23.0       5.000
      1992  113115823.10    1.342 127.373113.0       6.000
      1992  113135332.40   -6.616 154.398 96.0       5.100
      1992  11319 744.10  -17.922-179.448583.0       5.100
      1992  113233825.30  -19.005-172.764 33.0       5.300
      1992  114104514.50  -55.617 -25.212 33.0       5.200
      1992  11416 3 5.80  -56.106 -26.451 33.0       5.100
      1992  114211832.60  -33.159-178.689 33.0       5.000
      1992  115 11812.70   -2.169 -77.041148.0       5.100
      1992  115 33211.80  -31.576-176.721 33.0       5.000
      1992  115 5 032.80   13.939 120.667147.0       5.100
      1992  115 65832.40   18.017 -70.618 10.0       5.800
      1992  115233146.40   24.425 142.789 25.0       5.100
      1992  116103227.50  -33.075-178.548 82.0       5.000
      1992  116125813.80  -18.947-175.393231.0       5.100
      1992  116184649.70   41.514 141.850 73.0       5.100
      1992  116205850.20   52.954 159.664 44.0       5.100
      1992  117 01527.10   52.928 159.702 43.0       5.500
      1992  117 443 5.90   -0.249 123.229103.0       5.000
