GS    1997 0107180051.80  -18.687-174.741 33.0N      5.2           
GS    1997 0107195349.10  -02.308 138.592 50.0G      4.5           
GS    1997 0107200920.70   40.033 143.339 26.0*      4.7           
GS    1997 0108060613.10  -07.557 128.906150.0G      4.6           
GS    1997 0108064304.80   17.672-072.209 10.0G      5.3        4.8
GS    1997 0108065241.80   09.838 126.363 33.0N      4.7        4.3
GS    1997 0108180209.70   10.979-086.454 33.0N      4.6           
GS    1997 0108201410.50   07.383 127.143 41.0D      4.6           
GS    1997 0108225122.50   16.224-095.359 33.0N      4.9        4.5
GS    1997 0108231554.40   12.383-088.907 54.0       4.6           
GS    1997 0108232041.60   12.423-088.839 33.0N      4.7           
GS    1997 0109063640.10   26.025 141.152 62.0D      4.9           
GS    1997 0109072753.40  -06.098 105.249100.0G      4.6           
GS    1997 0109075216.10   53.701-163.546 33.0N      5.2        4.5
GS    1997 0109082931.20  -17.691 168.322108.0D      4.9           
GS    1997 0109085016.60   34.456-037.284 10.0G      5.2        5.2
GS    1997 0109094136.70   47.168 146.208355.0?      4.5           
GS    1997 0109114059.50  -05.652 151.008100.0G      5.1           
GS    1997 0109124628.90  -14.738-173.949 33.0N      4.6           
GS    1997 0109134331.50   41.026 074.284 22.0D      5.7        5.8
GS    1997 0109151542.80  -23.780-179.937500.0G      4.8           
GS    1997 0109174717.20   00.785-029.255 10.0G      4.9           
GS    1997 0109181326.20  -06.171 142.180 33.0N      4.5           
GS    1997 0109184617.80   12.179 096.384 33.0N      4.8           
GS    1997 0109215125.50   43.461 147.773 33.0N      4.6           
GS    1997 0110022412.90   36.385 070.821201.0D      4.8           
GS    1997 0110080910.80  -34.556-179.837 58.0D      5.0           
GS    1997 0110114749.50  -05.808-080.959 33.0N      4.7           
GS    1997 0110134941.60  -54.065-001.872 10.0G      4.9           
GS    1997 0110162835.10   72.694 004.616 10.0G      4.6           
GS    1997 0110183241.50  -05.885 105.584 33.0N      5.0           
GS    1997 0110191955.10   43.128 145.901 89.0D      5.0           
GS    1997 0110194208.80  -20.979-178.969650.0G      4.5           
GS    1997 0110195306.30   40.066 142.042 70.0D      4.5           
GS    1997 0111055023.70   31.631 131.542 52.0       5.0        4.9
GS    1997 0111083821.50   36.567 071.046212.0D      4.5           
GS    1997 0111125542.70   32.782-039.899 10.0G      4.8        4.7
GS    1997 0111143512.00   08.858 093.695 33.0N      4.7        4.7
GS    1997 0111164508.70   14.019-091.188100.0G      4.5           
GS    1997 0111202826.00   18.219-102.756 33.0N      6.5        6.9
GS    1997 0111222232.60   25.846 141.022100.0G      4.5           
GS    1997 0112012826.10   18.049-102.424 33.0N      4.9           
GS    1997 0112032848.60  -16.979 176.595 33.0N      4.8        4.7
GS    1997 0112083016.40  -27.901-066.611150.0G      4.5           
GS    1997 0112121051.30   40.956 019.672 10.0G      4.8        4.7
GS    1997 0112143928.20  -18.243-172.024 33.0N      4.5           
GS    1997 0112150218.90   23.867-108.335 24.0D      5.0        4.4
GS    1997 0112173934.00  -15.532-174.632 33.0N      4.6           
GS    1997 0113000122.10  -56.274-024.343 45.0D      4.9           
GS    1997 0113010017.00  -09.103-075.069126.0D      5.0           
GS    1997 0113013908.30  -18.386-174.855100.0G      4.8           
GS    1997 0113064350.10   17.979-106.452 33.0N      4.7           
GS    1997 0113065104.80  -08.048 122.591250.0G      4.7           
GS    1997 0113075132.70   27.679 131.572 33.0N      4.7           
GS    1997 0113080631.70   10.311 125.254 33.0N      4.7           
GS    1997 0113101926.10   34.305 032.326 33.0N      5.3        5.4
GS    1997 0113113720.30   34.364 141.102 40.0*      5.0           
GS    1997 0113131849.00   16.914 147.073 33.0N      5.1        5.2
GS    1997 0113185805.40   37.059 143.093 36.0D      4.7           
GS    1997 0113233738.20  -30.501-178.480250.0G      4.8           
GS    1997 0113235717.30   45.111 151.913 33.0N      4.8           
GS    1997 0114062058.90   34.317 141.227 33.0N      5.0           
GS    1997 0114081300.20   49.333 155.660 33.0N      5.0        4.4
GS    1997 0114091526.80  -22.182 171.552 33.0N      5.2        4.6
GS    1997 0114180334.40   17.373-061.623 55.0       4.8           
GS    1997 0114180523.00   21.581 143.023300.0G      4.6           
GS    1997 0114211117.20   12.681 143.715 33.0N      4.9           
GS    1997 0114213055.40  -36.758 176.836200.0G      4.8           
GS    1997 0115012628.60   02.828-084.345 33.0N      5.0        4.6
GS    1997 0115075826.20  -21.306-174.151 33.0N      4.5           
GS    1997 0115125320.60  -21.641-068.296119.0D      4.8           
GS    1997 0115174319.40   12.581 125.420 33.0N      4.7           
GS    1997 0115185434.90  -11.531 117.940 33.0N      4.7           
GS    1997 0115221052.80  -02.233 085.112 10.0G      4.8        4.3
GS    1997 0115222724.20   28.194 142.889 33.0N      4.5           
GS    1997 0116010719.80   21.876 121.461 30.0       5.3        4.5
GS    1997 0116012750.20   31.518 085.050 33.0N      4.5           
GS    1997 0116024444.50  -15.819 167.100100.0G      4.5           
GS    1997 0116034828.10  -07.415 155.938 21.0D      4.6           
GS    1997 0116081311.10  -64.475 175.473 10.0G      4.6           
GS    1997 0116091649.70   44.431 148.231 50.0G      4.9           
