GS    1977  1 1 62345.10   28.135 130.649 33.0N      5.100                0X    0
ISC   1977  1 1 62345.55   28.133 130.847 33.0A      5.160                0X    0
GS    1977  1 1105234.10    8.414 126.409 53.0       5.000                0X    0
GS    1977  1 1113341.60   30.663 137.060476.0       5.200                0X    0
GS    1977  1 1121922.20   10.278 126.232 89.0       5.000                0X    0
GS    1977  1 1173554.90   -7.885 109.014113.0       5.700                0X    0
GS    1977  1 119 139.60   -2.532 126.582 33.0N      6.0006.1Z  6.30UKPA  1B  205
GS    1977  1 1213941.30   38.146  91.007 27.0       5.9006.3Z  6.10UKBR  1B  206
GS    1977  1 1222640.60   39.197  43.458 24.0       5.000                0X    0
GS    1977  1 1232416.60  -56.153-142.925 33.0N      5.400                0X    0
GS    1977  1 2 055 8.80   -6.955 129.512171.0       5.000                0X    0
GS    1977  1 2 95528.40  -10.170 118.987 19.0       5.8006.3Z  6.00UKPA  0X    0
GS    1977  1 2171219.20   10.224 126.328 23.0       5.100                0X    0
GS    1977  1 3 02136.90   -0.009 123.902131.0       5.100                0X    0
GS    1977  1 3 61550.00    6.699  60.293 33.0N      5.000                0X    0
GS    1977  1 310 515.30  -29.254  77.796 33.0N      5.100                0X    0
GS    1977  1 3135314.20  -23.580-179.960540.0       5.100                0X    0
GS    1977  1 3152310.20   -5.258 151.916 65.0       5.000                0X    0
GS    1977  1 3225648.50J  37.550 -89.790  5.0       5.000      3.40MnSL  0X    0
GS    1977  1 4145646.10   15.294 -94.352 33.0N      5.200                0X    0
GS    1977  1 416 958.50   33.094  47.923 45.0       5.100                0X    0
GS    1977  1 4204439.40   -7.435  38.518 33.0N      5.200                0X    0
GS    1977  1 5 54439.90   27.457  56.202 29.0       5.5005.2Z            3A  790
GS    1977  1 5102029.10  -23.381 179.987538.0       5.000                0X    0
GS    1977  1 5103629.40* -16.088-173.866 33.0N      5.000                0X    0
GS    1977  1 5103723.80   25.978 142.582 21.0       5.1004.5Z            0X    0
GS    1977  1 5132948.10  -20.813-178.314575.0       5.200                0X    0
GS    1977  1 5161325.90    0.985 -85.295 33.0N      5.0004.9Z            0X    0
GS    1977  1 5224459.70   23.394 143.710 33.0N      5.700                0X    0
GS    1977  1 6 61140.70   -3.630 144.447 33.0N      6.0006.6Z  6.60MLPA  1B  207
GS    1977  1 6 75557.50   49.267 155.547 33.0N      5.400                0X    0
GS    1977  1 6111641.20   -3.153 129.102 48.0       5.000                0X    0
GS    1977  1 616 2 7.60   51.479-175.478 38.0       5.2005.3Z  5.20UKBR  0X    0
ISC   1977  1 617 117.15   -4.453 152.766 64.0       5.530                0X    0
GS    1977  1 6183343.50   -2.509  28.702 21.0       5.300                0X    0
ISC   1977  1 62150 7.78   31.245  87.978 25.0D 5    5.017                0X    0
GS    1977  1 62150 8.10   31.048  88.052 33.0N      5.200                0X    0
GS    1977  1 7 63113.20   34.549  70.972 46.0       5.100                0X    0
GS    1977  1 7 7 935.30  -52.257 114.591 33.0N      5.500                0X    0
ISC   1977  1 7 75244.08  -52.278 114.700 45.1       5.150                0X    0
GS    1977  1 7143822.40  -31.282 -13.240 33.0N      5.3005.5Z            0X    0
ISC   1977  1 7171443.49  -25.266-176.776 45.3       5.040                0X    0
GS    1977  1 7171447.30  -25.182-176.958 76.0       5.000                0X    0
GS    1977  1 7193646.90   21.173 120.276 33.0N      5.7005.1Z            0X    0
GS    1977  1 8 1 631.10   20.078 147.517 47.0       5.200                0X    0
GS    1977  1 8 641 4.10   15.324 121.906 36.0       5.300                0X    0
GS    1977  1 8 74041.90  -11.273 166.108 42.0D      5.5005.6Z            0X    0
ISC   1977  1 8 74046.50  -11.405 166.150 84.2       5.534                0X    0
GS    1977  1 8105519.00   -3.579 140.099 26.0       5.100                0X    0
ISC   1977  1 8111549.45  -17.804-178.645571.5       5.130                0X    0
GS    1977  1 8122445.40   -5.597 150.961 61.0       5.300                0X    0
GS    1977  1 8213716.00  -22.241 170.348 58.0       5.100                0X    0
ISC   1977  1 9 35155.41  -27.902 -71.136 37.3       5.230                0X    0
GS    1977  1 9 92654.30  -16.764 -14.191 33.0N      5.300                0X    0
GS    1977  1 9205922.10   31.247 141.911 28.0       5.100                0X    0
GS    1977  110 32854.90   15.332 121.859 47.0       5.000                0X    0
ISC   1977  110 32856.50   15.424 121.730 54.5       5.014                0X    0
GS    1977  110 81859.90    8.347 125.187 38.0       5.4004.9Z            0X    0
GS    1977  110 93149.60  -20.717-179.246653.0D      5.500                0X    0
GS    1977  1102040 3.00   -7.039 154.696 52.0       5.000                0X    0
GS    1977  1102318 7.00  -21.490 168.664 16.0       5.200                0X    0
GS    1977  111 7 234.80  -31.679 -71.435 35.0       5.400                0X    0
ISC   1977  111 7 235.22  -31.704 -71.660 37.8       5.319                0X    0
GS    1977  1111451 5.00   12.935  57.454 33.0N      5.100                0X    0
GS    1977  111214126.30   -5.356 133.869 33.0N      5.100                0X    0
ISC   1977  112125337.64  -32.983 -70.281108.9       5.140                0X    0
GS    1977  112174333.40   28.218 102.589 33.0N      5.100                0X    0
ISC   1977  112211437.13  -17.365-178.974518.6       5.330                0X    0
GS    1977  112233519.10    1.577  99.856178.0D      5.600                0X    0
GS    1977  113 55459.00   38.339  75.967 33.0N      5.000                0X    0
GS    1977  113 919 6.10   43.546  17.101 20.0       5.300                0X    0
GS    1977  11314 230.40  -41.046 -90.877 33.0N      5.000                0X    0
ISC   1977  11314 230.73  -40.935 -91.046 33.0A      5.270                0X    0
GS    1977  113142738.40    2.051 125.082156.0       5.100                0X    0
GS    1977  113211016.70   51.957 175.029 51.0       5.000      4.50MLPM  0X    0
ISC   1977  114 53233.40  -20.551 -68.054174.3       5.040                0X    0
GS    1977  114104858.50   -4.670 152.972 75.0       5.300                0X    0
GS    1977  114175835.20  -19.800-177.543350.0       5.200                0X    0
GS    1977  114224656.90   40.197 118.821 33.0N      4.900      5.30MLPE  0X    0
ISC   1977  115 13550.72  -35.767-102.668 33.0A      5.070                0X    0
GS    1977  1151049 5.80   12.960 125.960 33.0N      5.6004.6Z            0X    0
GS    1977  115105547.20   12.989 125.927 33.0N      5.500                0X    0
ISC   1977  115105548.62   13.064 125.745 37.1D 8    5.625                0X    0
GS    1977  11521 950.20* -14.264 170.488 33.0N      5.000                0X    0
GS    1977  115231220.10  -52.157  -4.948 33.0N      5.000                0X    0
GS    1977  116 030 8.20   35.903  70.749 89.0       5.000                0X    0
GS    1977  116 3 310.80  -34.949 -15.956 33.0N      5.000                0X    0
ISC   1977  116 5 028.34  -22.852-114.182 33.0A      5.630                0X    0
GS    1977  116103457.30   35.465 -37.040 33.0N      5.100                0X    0
GS    1977  117 31143.50*   6.210 126.274 86.0       5.000                0X    0
GS    1977  117 51923.70   39.172  43.518 33.0N      5.000                0X    0
ISC   1977  117 51924.67   39.270  43.700 39.5       5.028                0X    0
GS    1977  117 62336.10   26.677 142.579 33.0N      5.6005.6Z            0X    0
ISC   1977  117 62340.53   26.800 142.659 70.0       5.435                0X    0
ISC   1977  117 94224.15   53.753-158.564 22.0A      5.021                0X    0
GS    1977  117 94225.60*  53.867-158.212 22.0       5.100                0X    0
GS    1977  11719 437.40  -14.874-177.233 36.0       5.3005.9Z            0X    0
GS    1977  117212712.60  -24.848 -68.674 33.0N      6.3006.1Z  6.50UKPA  1B  208
GS    1977  117221256.70   -5.775 133.679 33.0N      5.200                0X    0
GS    1977  118 54149.60  -41.731 174.250 50.0       5.9006.0Z            0X    0
GS    1977  118 84854.10   33.157  47.997 48.0       5.200                0X    0
GS    1977  118111720.80   -4.644 132.703 57.0D      5.100                0X    0
GS    1977  119 04618.30   37.022  95.697 33.0N      5.9005.8Z            0X    0
GS    1977  119 33451.20   -8.874 160.154 80.0       5.300                0X    0
GS    1977  1191354 4.50    5.036 126.553 50.0G      5.8005.9Z  6.00UKPA  0X    0
GS    1977  1191455 5.70* -20.799-178.659634.0       5.000                0X    0
GS    1977  119151227.00   -4.754 140.258 33.0N      5.200                0X    0
GS    1977  11916 926.60* -14.166 -72.867 96.0       5.000                0X    0
GS    1977  11917 946.60*   8.473 127.084 94.0       5.200                0X    0
GS    1977  119204653.30   36.585   8.493 22.0       5.100                0X    0
GS    1977  119235942.40   -9.689 159.985 25.0       5.400                0X    0
GS    1977  120 01523.30   -6.327 146.892107.0       5.200                0X    0
GS    1977  120123359.20  -23.544-179.910546.0       5.000                0X    0
GS    1977  1202010 9.70   20.977 120.339 30.0D      5.200                0X    0
GS    1977  120205114.90    8.390 123.026 37.0       5.4004.9Z            0X    0
GS    1977  121 220 6.30   23.756 121.916 36.0       5.3005.2Z            0X    0
GS    1977  121 611 5.60  -18.014-178.379604.0D      5.800                0X    0
GS    1977  121 927 3.80* -16.538-177.080 33.0N      5.0004.3Z            0X    0
GS    1977  12120 858.10  -10.662 161.301 51.0       5.1004.8Z            0X    0
GS    1977  122 11516.60   -3.455 141.301 33.0N      5.200                0X    0
GS    1977  122 41836.50   -3.469 127.138 66.0       5.300                0X    0
GS    1977  122 53030.90  -15.752-173.112 33.0N      5.300                0X    0
ISC   1977  122 53031.03  -15.852-172.988 33.0A      5.220                0X    0
GS    1977  122223628.50*  20.940-160.260 33.0N      4.700      5.00MLHV  0X    0
GS    1977  123 13823.50  -13.379 166.511 39.0       5.5005.6Z            0X    0
ISC   1977  123 53847.20   18.013 145.653214.5       5.027                0X    0
GS    1977  123 53847.60   18.049 145.508219.0D      5.100                0X    0
GS    1977  123145414.90   26.792 142.894 33.0N      5.0004.4Z            0X    0
GS    1977  123153411.40*  13.055 125.928 33.0N      5.100                0X    0
GS    1977  12317 039.30   13.919 -91.745 85.0       5.100                0X    0
GS    1977  124 61121.70   45.476 151.054 33.0N      5.100                0X    0
ISC   1977  124 74536.88   27.836-111.513 23.5       5.018                0X    0
GS    1977  124102929.70  -13.511 168.298 21.0       5.3004.9Z            0X    0
GS    1977  124144117.60* -17.354 167.920 38.0       5.000                0X    0
ISC   1977  124194351.71  -24.012 178.696524.4       5.090                0X    0
GS    1977  125 05047.90  -33.588 -68.355 17.0D      5.3005.3Z            0X    0
GS    1977  125 23741.60   -1.891 134.360 33.0N      5.4005.4Z            0X    0
GS    1977  125 63455.10*   7.618 -37.185 33.0N      5.000                0X    0
GS    1977  125 81513.60  -15.917 168.232266.0       5.600                0X    0
GS    1977  1251031 4.90  -10.925 164.660 25.0       5.7005.2Z            0X    0
GS    1977  126131129.80   -8.219 115.193 33.0N      5.200                0X    0
GS    1977  1261516 9.40  -12.155 -78.014 14.0       5.100                0X    0
ISC   1977  126151612.80  -12.189 -77.810 41.8       5.070                0X    0
ISC   1977  1261545 6.13   13.776 124.739 28.6       5.050                0X    0
GS    1977  127 45053.30  -17.360 167.866 25.0       5.000                0X    0
GS    1977  1271141 1.10   12.221  58.093 33.0N      5.100                0X    0
GS    1977  127135945.00   -6.511 152.776 58.0       5.700                0X    0
GS    1977  127161516.40   43.319 147.599 41.0       5.000                0X    0
ISC   1977  1271652 6.71   43.199 147.644 23.5       5.010                0X    0
