GS    1976  1 1 12939.60  -28.611-177.638 59.0       6.200      6.90UKPA  0X    0
GS    1976  1 1 22110.60  -28.949-177.537 50.0D      5.500                0X    0
GS    1976  1 1 7 248.90  -29.552-177.038 33.0N      5.000                0X    0
GS    1976  1 1 9 444.60  -16.590-172.852 33.0N      5.7005.6Z  5.50UKBR  0X    0
GS    1976  1 11427 7.60  -29.253-177.291 51.0       5.000                0X    0
GS    1976  1 1144611.10  -16.421-172.899 33.0N      5.3004.9Z            0X    0
GS    1976  1 1161549.70  -26.640-178.180208.0       5.400                0X    0
GS    1976  1 1184338.20  -16.786 167.252 25.0       5.2005.5Z            0X    0
GS    1976  1 1185735.90* -16.497-172.726 33.0N      5.0005.4Z            0X    0
GS    1976  1 119 329.40  -29.014-177.782 63.0D      5.200                0X    0
GS    1976  1 2 1 831.30  -29.242-177.142 47.0       5.300                0X    0
GS    1976  1 2 21155.80  -15.474-172.020 28.0D      5.300                0X    0
GS    1976  1 2 33620.40   50.388-129.827 23.0       5.1004.2Z            0X    0
GS    1976  1 2 41014.80  -29.085-177.333 64.0       5.100                0X    0
GS    1976  1 2 62746.70   36.381  71.245 93.0       5.000                0X    0
GS    1976  1 2 64759.40   43.381 147.152 42.0       5.200                0X    0
GS    1976  1 2 95020.60   14.138 146.638 50.0       5.100                0X    0
GS    1976  1 2163012.80  -11.459  66.389 33.0N      5.000                0X    0
GS    1976  1 2163349.00  -11.496  66.352 33.0N      5.200                0X    0
GS    1976  1 2215628.90  -29.587-177.063 32.0       5.100                0X    0
GS    1976  1 3 13352.40    7.270 123.383 56.0       5.300                0X    0
GS    1976  1 3 25827.90   26.477 128.804 21.0       5.4005.7Z            0X    0
GS    1976  1 31915 0.20A  37.297-116.333  0.0       6.2005.5Z  6.30MLBR  0X    0
GS    1976  1 3233715.90* -21.702-174.631 53.0       5.300                0X    0
GS    1976  1 4 35655.80  -10.080 109.114 59.0       5.500                0X    0
GS    1976  1 4 42929.30   66.047 -16.688 33.0N      5.200                0X    0
GS    1976  1 4 442 2.90  -27.750 -66.231127.0       5.200                0X    0
GS    1976  1 4 84411.20   52.891-166.758 40.0       5.2005.2Z            0X    0
GS    1976  1 4113450.20   13.037 -88.666 33.0N      5.300                0X    0
GS    1976  1 5 0 327.70*  53.630 161.708 33.0N      5.000                0X    0
GS    1976  1 5 23136.30  -13.288 -74.899 95.0       6.000                0X    0
GS    1976  1 5 62332.90   35.844-108.341 25.0G      5.000      4.60ML G  0X    0
