901218 1652  0.00  12.0000  143.7000   0.00   0.00 24 148
   67860 YKA    P        t    d       363.398   1.000   0
   67860 YKA    P        a    d       288.000  15.000   0
   67860 YKA    P        s    n         5.240   1.500   0
   67862 YKA    sP       t    d       364.500   3.000   0
   67864 YKA    pP       t    d       370.000   3.000   0
   66889 FIA1   P        t    d       397.797   1.000   0
   66889 FIA1   P        a    d        77.000  15.000   0
   66889 FIA1   P        s    n         4.810   1.500   0
   67415 CTA    P        t    d         0.000   1.000   0
   67458 WRA    P        t    d         7.797   1.000   0
   67458 WRA    P        a    d        18.000  15.000   0
   67458 WRA    P        s    n         8.790   1.500   0
   68230 ASPA   P        t    d        38.898   1.000   0
   66971 KAF    P        t    d       396.398   1.000   0
   66977 VAF    P        t    d       400.797   1.000   0
   67510 ASAR   P        t    d        39.695   1.000   0
   67510 ASAR   P        a    d        18.000  15.000   0
   67510 ASAR   P        s    n         4.400   1.500   0
   67023 ARA0   P        t    d       379.898   1.000   0
   67023 ARA0   P        a    d        65.000  15.000   0
   67023 ARA0   P        s    n         7.120   1.500   0
   67024 ARA0   sP       t    d       390.898   1.000   0
   67024 ARA0   sP       a    d        62.000  15.000   0
   67024 ARA0   sP       s    n         6.690   1.500   0

