910429 0340  0.00  50.0000   15.0000   1.00   0.00  4 171
       1 GEC2   Pg       t    d        95.500   0.300   0
       2 GEC2   Pg       a    d        32.400   5.000   0
       3 GEC2   Pg       s    d        18.210   0.500   0
       4 GEC2   Sg       t    d       134.700   0.300   0

