910516 0206  0.00  50.0000   07.0000   1.00   0.00  4 171
   66817 BUGKLS P        t    d        35.500   0.100   0
   66818 BUGKLS S        t    d        49.100   1.000   0
   67615 BUGHRH P        t    d        31.600   0.100   0
   67616 BUGHRH S        t    d        42.200   1.000   0
