station:  bfo
phases:   P,PP
slowness: 4.3 - 14.0
entries:  25
azim:     0.000000 15.000000 30.000000 45.000000 60.000000 75.000000 90.000000 105.000000 120.000000 135.000000 150.000000 165.000000 180.000000 195.000000 210.000000 225.000000 240.000000 255.000000 270.000000 285.000000 300.000000 315.000000 330.000000 345.000000 360.000000
resid:    -0.082593 -0.040916 -0.061555 -0.189344 -0.261674 -0.292504 -0.510345 -0.689105 -0.490530 -0.215568 0.125942 0.004341 -0.178061 -0.301185 -0.237811 -0.225584 -0.413989 -0.488701 -0.506518 -0.444663 -0.325627 -0.101625 -0.071297 -0.036282 -0.082593
end

station:  brg
phases:   P,PP
slowness: 4.3 - 14.0
entries:  25
azim:     0.000000 15.000000 30.000000 45.000000 60.000000 75.000000 90.000000 105.000000 120.000000 135.000000 150.000000 165.000000 180.000000 195.000000 210.000000 225.000000 240.000000 255.000000 270.000000 285.000000 300.000000 315.000000 330.000000 345.000000 360.000000
resid:    -0.292789 -0.297819 -0.199495 -0.061872 -0.117122 -0.095715 0.044215 0.171156 0.230664 0.329407 -0.497384 -0.387653 -0.223056 -0.041188 -0.090603 0.018202 0.300336 0.225073 0.185767 0.038267 -0.074140 -0.187079 -0.192165 -0.221755 -0.292789
end

station:  brnl
phases:   P,PP
slowness: 4.3 - 14.0
entries:  25
azim:     0.000000 15.000000 30.000000 45.000000 60.000000 75.000000 90.000000 105.000000 120.000000 135.000000 150.000000 165.000000 180.000000 195.000000 210.000000 225.000000 240.000000 255.000000 270.000000 285.000000 300.000000 315.000000 330.000000 345.000000 360.000000
resid:    0.019644 -0.007668 0.020656 0.106381 0.068768 0.007049 0.040019 0.118398 0.320904 0.169422 -0.237398 -0.209418 -0.125480 0.248794 0.309679 0.385854 0.323515 0.262479 0.215889 -0.053301 -0.207225 -0.268891 -0.144173 0.014911 0.019644
end

station:  bseg
phases:   P,PP
slowness: 4.3 - 14.0
entries:  25
azim:     0.000000 15.000000 30.000000 45.000000 60.000000 75.000000 90.000000 105.000000 120.000000 135.000000 150.000000 165.000000 180.000000 195.000000 210.000000 225.000000 240.000000 255.000000 270.000000 285.000000 300.000000 315.000000 330.000000 345.000000 360.000000
resid:    0.081325 0.088603 -0.017132 -0.098572 -0.078892 0.031645 0.152450 0.168507 -0.076836 -0.294976 -0.174377 -0.482515 -0.790652 0.001309 -0.006692 -0.175910 -0.195186 -0.085504 0.002118 0.005986 -0.037771 -0.063732 0.153051 -0.114191 0.081325
end

station:  bug
phases:   P,PP
slowness: 4.3 - 14.0
entries:  25
azim:     0.000000 15.000000 30.000000 45.000000 60.000000 75.000000 90.000000 105.000000 120.000000 135.000000 150.000000 165.000000 180.000000 195.000000 210.000000 225.000000 240.000000 255.000000 270.000000 285.000000 300.000000 315.000000 330.000000 345.000000 360.000000
resid:    -0.266762 -0.309471 -0.363511 -0.380686 -0.200391 -0.090181 0.002079 0.176399 0.318042 0.124402 0.419279 0.364343 0.281939 0.245289 0.181175 -0.069848 -0.400341 -0.317707 -0.307731 -0.290486 -0.224307 -0.210718 -0.272970 -0.302421 -0.266762
end

station:  cll
phases:   P,PP
slowness: 4.3 - 14.0
entries:  25
azim:     0.000000 15.000000 30.000000 45.000000 60.000000 75.000000 90.000000 105.000000 120.000000 135.000000 150.000000 165.000000 180.000000 195.000000 210.000000 225.000000 240.000000 255.000000 270.000000 285.000000 300.000000 315.000000 330.000000 345.000000 360.000000
resid:    -0.494229 -0.618938 -0.561721 -0.440178 -0.456233 -0.460168 -0.314657 -0.061095 0.100894 0.199427 -0.577414 -0.309679 0.091924 -0.203701 -0.187803 -0.050889 0.234653 0.097214 0.024707 -0.094934 -0.218476 -0.387997 -0.391292 -0.409091 -0.494229
end

station:  clz
phases:   P,PP
slowness: 4.3 - 14.0
entries:  25
azim:     0.000000 15.000000 30.000000 45.000000 60.000000 75.000000 90.000000 105.000000 120.000000 135.000000 150.000000 165.000000 180.000000 195.000000 210.000000 225.000000 240.000000 255.000000 270.000000 285.000000 300.000000 315.000000 330.000000 345.000000 360.000000
resid:    0.242460 0.217268 0.185997 0.176666 0.170779 0.080385 0.054747 0.215168 0.343759 0.209432 0.239292 0.236353 0.231944 0.246292 0.189679 0.122583 0.139389 0.156532 0.171046 0.247178 0.262024 0.268381 0.350383 0.217996 0.242460
end

station:  fur
phases:   P,PP
slowness: 4.3 - 14.0
entries:  25
azim:     0.000000 15.000000 30.000000 45.000000 60.000000 75.000000 90.000000 105.000000 120.000000 135.000000 150.000000 165.000000 180.000000 195.000000 210.000000 225.000000 240.000000 255.000000 270.000000 285.000000 300.000000 315.000000 330.000000 345.000000 360.000000
resid:    0.075273 0.148618 0.189099 0.208169 0.159295 0.048192 -0.202053 -0.555100 -0.411946 -0.085568 -0.427398 -0.315665 -0.148066 -0.286198 -0.216562 -0.188426 -0.087725 -0.111648 -0.097001 0.107835 0.217171 0.283836 0.162050 0.192285 0.075273
end

station:  grfo
phases:   P,PP
slowness: 4.3 - 14.0
entries:  25
azim:     0.000000 15.000000 30.000000 45.000000 60.000000 75.000000 90.000000 105.000000 120.000000 135.000000 150.000000 165.000000 180.000000 195.000000 210.000000 225.000000 240.000000 255.000000 270.000000 285.000000 300.000000 315.000000 330.000000 345.000000 360.000000
resid:    0.372150 0.381866 0.394707 0.385954 0.337491 0.421216 0.518834 0.132245 -0.339709 -0.245578 -0.014289 0.068832 0.151954 -0.203693 -0.216932 -0.209984 0.192390 0.195066 0.218090 0.395154 0.475384 0.455112 0.291815 0.375858 0.372150
end

station:  gsh
phases:   P,PP
slowness: 4.3 - 14.0
entries:  25
azim:     0.000000 15.000000 30.000000 45.000000 60.000000 75.000000 90.000000 105.000000 120.000000 135.000000 150.000000 165.000000 180.000000 195.000000 210.000000 225.000000 240.000000 255.000000 270.000000 285.000000 300.000000 315.000000 330.000000 345.000000 360.000000
resid:    -0.091992 -0.078834 -0.179103 -0.245020 -0.009538 0.090665 0.082350 0.302688 0.379734 0.239412 0.705623 0.942477 1.179330 0.648809 0.701308 0.694095 -0.206862 -0.228908 -0.217710 -0.171181 -0.156806 -0.292919 -0.026949 -0.147576 -0.091992
end

station:  ham
phases:   P,PP
slowness: 4.3 - 14.0
entries:  25
azim:     0.000000 15.000000 30.000000 45.000000 60.000000 75.000000 90.000000 105.000000 120.000000 135.000000 150.000000 165.000000 180.000000 195.000000 210.000000 225.000000 240.000000 255.000000 270.000000 285.000000 300.000000 315.000000 330.000000 345.000000 360.000000
resid:    0.081325 0.088603 -0.017132 -0.098572 -0.078892 0.031645 0.152450 0.168507 -0.076836 -0.294976 -0.174377 -0.482515 -0.790652 0.001309 -0.006692 -0.175910 -0.195186 -0.085504 0.002118 0.005986 -0.037771 -0.063732 0.153051 -0.114191 0.081325
end

station:  ibbn
phases:   P,PP
slowness: 4.3 - 14.0
entries:  25
azim:     0.000000 15.000000 30.000000 45.000000 60.000000 75.000000 90.000000 105.000000 120.000000 135.000000 150.000000 165.000000 180.000000 195.000000 210.000000 225.000000 240.000000 255.000000 270.000000 285.000000 300.000000 315.000000 330.000000 345.000000 360.000000
resid:    0.079374 -0.013833 -0.258358 -0.291908 -0.106058 -0.137367 -0.163766 0.165780 0.188635 -0.025016 0.695643 0.707501 0.719358 0.506711 0.506711 0.036886 -0.366512 -0.247265 -0.163747 -0.123883 -0.086140 -0.143722 -0.006899 -0.047619 0.079374
end

station:  lid
phases:   P,PP
slowness: 4.3 - 14.0
entries:  25
