station:  bfo
phases:   P,PP
slowness: 4.3 - 14.0
entries:  25
azim:     0.000000 15.000000 30.000000 45.000000 60.000000 75.000000 90.000000 105.000000 120.000000 135.000000 150.000000 165.000000 180.000000 195.000000 210.000000 225.000000 240.000000 255.000000 270.000000 285.000000 300.000000 315.000000 330.000000 345.000000 360.000000
resid:    -0.052333 -0.081500 -0.189370 -0.218778 -0.316931 -0.447074 -0.461913 -0.524444 -0.609556 -0.127500 -0.054429 -0.001400 -0.217364 -0.314167 -0.330429 -0.359150 -0.402542 -0.448296 -0.448161 -0.401724 -0.304542 -0.225167 -0.031250 -0.050000 -0.052333
end

station:  brg
phases:   P,PP
slowness: 4.3 - 14.0
entries:  25
azim:     0.000000 15.000000 30.000000 45.000000 60.000000 75.000000 90.000000 105.000000 120.000000 135.000000 150.000000 165.000000 180.000000 195.000000 210.000000 225.000000 240.000000 255.000000 270.000000 285.000000 300.000000 315.000000 330.000000 345.000000 360.000000
resid:    -0.299333 -0.245217 -0.196000 -0.164593 -0.115621 -0.030111 0.004750 0.064400 0.234083 -0.066556 -0.157429 -0.315500 -0.187778 -0.032455 -0.001364 0.138600 0.179238 0.251158 0.217346 0.094222 -0.002211 -0.066474 -0.246571 -0.267231 -0.299333
end

station:  brnl
phases:   P,PP
slowness: 4.3 - 14.0
entries:  25
azim:     0.000000 15.000000 30.000000 45.000000 60.000000 75.000000 90.000000 105.000000 120.000000 135.000000 150.000000 165.000000 180.000000 195.000000 210.000000 225.000000 240.000000 255.000000 270.000000 285.000000 300.000000 315.000000 330.000000 345.000000 360.000000
resid:    -0.000688 0.041375 0.080074 0.077857 0.050733 0.019821 0.008240 0.053048 0.123429 0.116700 0.066625 -0.153200 -0.059833 0.316222 0.401000 0.369500 0.372625 0.330217 0.227862 0.068828 -0.079739 -0.166684 -0.208600 -0.031929 -0.000688
end

station:  rue
phases:   P,PP
slowness: 4.3 - 14.0
entries:  25
azim:     0.000000 15.000000 30.000000 45.000000 60.000000 75.000000 90.000000 105.000000 120.000000 135.000000 150.000000 165.000000 180.000000 195.000000 210.000000 225.000000 240.000000 255.000000 270.000000 285.000000 300.000000 315.000000 330.000000 345.000000 360.000000
resid:    -0.000688 0.041375 0.080074 0.077857 0.050733 0.019821 0.008240 0.053048 0.123429 0.116700 0.066625 -0.153200 -0.059833 0.316222 0.401000 0.369500 0.372625 0.330217 0.227862 0.068828 -0.079739 -0.166684 -0.208600 -0.031929 -0.000688
end

station:  bseg
phases:   P,PP
slowness: 4.3 - 14.0
entries:  25
azim:     0.000000 15.000000 30.000000 45.000000 60.000000 75.000000 90.000000 105.000000 120.000000 135.000000 150.000000 165.000000 180.000000 195.000000 210.000000 225.000000 240.000000 255.000000 270.000000 285.000000 300.000000 315.000000 330.000000 345.000000 360.000000
resid:    0.136067 0.115687 0.116687 0.124250 0.120700 0.104000 0.104273 0.046200 -0.022857 -0.076750 -0.188000 -0.374000 -0.100800 -0.071667 -0.104286 -0.042800 -0.046923 -0.054667 -0.017143 0.004364 -0.002800 0.050800 0.058400 0.113500 0.136067
end

station:  ham
phases:   P,PP
slowness: 4.3 - 14.0
entries:  25
azim:     0.000000 15.000000 30.000000 45.000000 60.000000 75.000000 90.000000 105.000000 120.000000 135.000000 150.000000 165.000000 180.000000 195.000000 210.000000 225.000000 240.000000 255.000000 270.000000 285.000000 300.000000 315.000000 330.000000 345.000000 360.000000
resid:    0.136067 0.115687 0.116687 0.124250 0.120700 0.104000 0.104273 0.046200 -0.022857 -0.076750 -0.188000 -0.374000 -0.100800 -0.071667 -0.104286 -0.042800 -0.046923 -0.054667 -0.017143 0.004364 -0.002800 0.050800 0.058400 0.113500 0.136067
end

station:  bug
phases:   P,PP
slowness: 4.3 - 14.0
entries:  25
azim:     0.000000 15.000000 30.000000 45.000000 60.000000 75.000000 90.000000 105.000000 120.000000 135.000000 150.000000 165.000000 180.000000 195.000000 210.000000 225.000000 240.000000 255.000000 270.000000 285.000000 300.000000 315.000000 330.000000 345.000000 360.000000
resid:    -0.287476 -0.307038 -0.285643 -0.236846 -0.143357 -0.030231 0.153304 0.192000 0.321909 0.400364 0.337286 0.401000 0.278455 0.132455 -0.042846 -0.151211 -0.306783 -0.385923 -0.334839 -0.312379 -0.297667 -0.261389 -0.287438 -0.284316 -0.287476
end

station:  cll
phases:   P,PP
slowness: 4.3 - 14.0
entries:  25
azim:     0.000000 15.000000 30.000000 45.000000 60.000000 75.000000 90.000000 105.000000 120.000000 135.000000 150.000000 165.000000 180.000000 195.000000 210.000000 225.000000 240.000000 255.000000 270.000000 285.000000 300.000000 315.000000 330.000000 345.000000 360.000000
resid:    -0.440850 -0.462115 -0.528679 -0.520966 -0.478100 -0.374071 -0.331720 -0.207762 0.017231 -0.140500 -0.157125 -0.253000 -0.179667 -0.066000 -0.029167 0.038471 0.053391 0.111042 0.072733 -0.062290 -0.158720 -0.263600 -0.280706 -0.314187 -0.440850
end

station:  clz
phases:   P,PP
slowness: 4.3 - 14.0
entries:  25
azim:     0.000000 15.000000 30.000000 45.000000 60.000000 75.000000 90.000000 105.000000 120.000000 135.000000 150.000000 165.000000 180.000000 195.000000 210.000000 225.000000 240.000000 255.000000 270.000000 285.000000 300.000000 315.000000 330.000000 345.000000 360.000000
resid:    0.271591 0.237185 0.246276 0.214621 0.150179 0.170115 0.198375 0.220474 0.325917 0.324600 0.172333 0.252400 0.270111 0.217727 0.227750 0.147833 0.141130 0.148200 0.177600 0.214345 0.243167 0.285842 0.270941 0.280667 0.271591
end

station:  fur
phases:   P,PP
slowness: 4.3 - 14.0
entries:  25
azim:     0.000000 15.000000 30.000000 45.000000 60.000000 75.000000 90.000000 105.000000 120.000000 135.000000 150.000000 165.000000 180.000000 195.000000 210.000000 225.000000 240.000000 255.000000 270.000000 285.000000 300.000000 315.000000 330.000000 345.000000 360.000000
resid:    0.060818 0.066667 0.099400 0.101929 0.036483 -0.110963 -0.273440 -0.377600 -0.509833 -0.439300 -0.316000 -0.354200 -0.324222 -0.236833 -0.241077 -0.215737 -0.156167 -0.093692 -0.033677 0.066700 0.121640 0.185263 0.161312 0.064211 0.060818
end

station:  grfo
phases:   P,PP
slowness: 4.3 - 14.0
entries:  25
azim:     0.000000 15.000000 30.000000 45.000000 60.000000 75.000000 90.000000 105.000000 120.000000 135.000000 150.000000 165.000000 180.000000 195.000000 210.000000 225.000000 240.000000 255.000000 270.000000 285.000000 300.000000 315.000000 330.000000 345.000000 360.000000
resid:    0.336350 0.348917 0.351000 0.327708 0.374920 0.382348 0.252619 0.183706 -0.049200 -0.273875 -0.115800 0.038500 -0.034000 -0.137000 -0.160500 -0.042250 0.033556 0.167727 0.233000 0.298259 0.375524 0.421533 0.374600 0.325375 0.336350
end

station:  gsh
phases:   P,PP
slowness: 4.3 - 14.0
entries:  25
azim:     0.000000 15.000000 30.000000 45.000000 60.000000 75.000000 90.000000 105.000000 120.000000 135.000000 150.000000 165.000000 180.000000 195.000000 210.000000 225.000000 240.000000 255.000000 270.000000 285.000000 300.000000 315.000000 330.000000 345.000000 360.000000
resid:    -0.097250 -0.111947 -0.112556 -0.041533 0.016588 0.117667 0.283143 0.315000 0.452286 0.508167 0.615500 0.923000 0.714429 0.660429 0.589167 0.174333 -0.179467 -0.227588 -0.184300 -0.235933 -0.272857 -0.230000 -0.279714 -0.097308 -0.097250
end

station:  ibbn
phases:   P,PP
slowness: 4.3 - 14.0
entries:  25
