GRA1        +49.69188770  +11.22172020   1  -21.923    +37.862   !Graefenberg, F.R.G.
MMY         +54.17583      -1.868889     0   +0.00000   +0.00000 !MIDDLESMOOR, G.B.
EKB         +55.33750      -3.177222     0   +0.00000   +0.00000 !ESKDALEMUIR, G.B.
BHM         +51.21278       1.170000     0   +0.00000   +0.00000 !BARHAM, G.B.
SBD         +50.56528      -4.685555     0   +0.00000   +0.00000 !ST.BREWARD, G.B.
AGO         +46.05239       3.131055     0    0.         0.      !FRANCE, SAINT-AGOULIN
COLF        +45.51786       3.695111     0    0.         0.      !FRANCE, COLLANGETTES
GRC         +47.29561       3.073611     0    0.         0.      !FRANCE, GARCHY
LBL         +45.23250       3.246944     0    0.         0.      !FRANCE, LOUBILHAC
PLDF        +45.96983       3.621167     0    0.         0.      !FRANCE, LA PLANTADE
PYM         +45.75056       3.007944     0    0.         0.      !FRANCE, PUY DE MANSON
SSB         +45.27917       4.541945     0    0.         0.      !FRANCE, ST SAUVEUR BADOLE
BBS         +47.46447       7.509167     0    0.         0.      !SWITZERLAND, BASEL BLAUEN
CHAF        +47.81222       7.540278     0    0.         0.      !FRANCE, CHALAMPE
ECH         +48.21584       7.158333     0    0.         0.      !FRANCE, ECHERY
FEL         +47.87583       8.012611     0    0.         0.      !GERMANY, FELDBERG
GWF         +48.97750       7.621944     0    0.         0.      !FRANCE, GRAND WINTERSBERG
LIBD        +48.15042       7.602278     0    0.         0.      !GERMANY, LIMBURG
LOMF        +47.35083       6.827500     0    0.         0.      !FRANCE, LOMONT DE CHAMESOL
MOF         +47.85158       7.133000     0    0.         0.      !FRANCE, MOLKENRAIN
STR         +48.57944       7.763055     0    0.         0.      !FRANCE, STRASBOURD CP
VITF        +48.21722       5.984445     0    0.         0.      !FRANCE, VITTEL
WLS         +48.41333       7.353333     0    0.         0.      !FRANCE, WELSBRUCH
BSF         +47.8319        6.7922       0    0.         0.      !FRANCE, BALLON DE SERVANCE
CDF         +48.4122        7.2761       0    0.         0.      !FRANCE, CHAMP DU FEU
ALT         +52.2270       11.1100       0    0.         0.      !FRG
BRG         +50.8739       13.9458       0    0.         0.      !FRG, BERGESHUEGEL
CLL         +51.3100       13.0033       0    0.         0.      !FRG, COLLM
GWS         +51.4920       10.6890       0    0.         0.      !FRG
MOX         +50.6461       11.6161       0    0.         0.      !FRG, MOXA
TIE         +50.8250       10.1750       0    0.         0.      !FRG, TIEFENORT
PLN         +50.4867       12.1589       0    0.         0.      !FRG, PLAUEN
PST         +50.8635       12.2548       0    0.         0.      !FRG
BUG         +51.4455   7.2643 0  0.    0.        !FRG, Bochum
WET         +49.1448  12.8803 0  0.    0.        !FRG, Wetzell
BFO         +48.3311   8.3303 0  0.    0.        !FRG, Black Forest
HAM         +53.4650   9.9247 0  0.    0.        !FRG, Hamburg
CLZ         +51.8429  10.3741 0  0.    0.        !FRG, Clausthal
BRL         +52.4278  13.3580 0  0.    0.        !FRG, Berlin
BRNL        +52.2     13.5    0  0.    0.        !FRG, Berlin
FUR         +48.1639  11.2768 0  0.    0.        !FRG, Fuerstenfeldbruck
TNS         +50.2236   8.4489 0  0.    0.        !FRG, Taunus
ANTO         39.870   32.790  0  0.00  0.00      !Ankara, Turkey
ANMO         34.950 -106.460  0  0.00  0.00      !Albuquerque, New Mexico, USA
ALQ          34.950 -106.460  0  0.00  0.00      !Albuquerque, New Mexico, USA
ADK          51.88  -176.68   0  0.00  0.00      !Adak Islands, Alaska, USA
CMO          64.86  -147.84   0  0.00  0.00      !College Fairbanks, Alaska, USA
PGC          48.65  -123.45   0  0.00  0.00      !Pacific Geoscience Centre, Canada
BMO          44.85  -117.31   0  0.00  0.00      !Blue Mountains, Oregon, USA
ICCV         38.00   -91.30   0  0.00  0.00      !Cathedral Caves, Missouri, USA
PFO          33.61  -116.46   0  0.00  0.00      !Pinon Flat, California, USA
SCZ          36.60  -121.40   0  0.00  0.00      !Santa Cruz, California, USA
BOCO          4.590  -74.040  0  0.00  0.00      !Bogota, Columbia
BCAO          4.430   18.540  0  0.00  0.00      !Bangui
CAY           4.95   -52.32   0  0.00  0.00      !Cayenne, French Guyana
BRV          53.1     70.2    0  0.00  0.00      !Borovoe, Kazakhstan
CHTO         18.790   98.980  0  0.00  0.00      !Chiang Mai                       
CTAO        -20.090  146.250  0  0.00  0.00      !Charters Tower, Australia
CTA         -20.090  146.250  0  0.00  0.00      !Charters Tower, Australia
CHG          18.790   98.980  0  0.00  0.00      !Chiang Mai                       
GRFO         49.692   11.222  0  0.00  0.00      !Graefenberg, FRG
HIA          49.267  119.741  0  0.00  0.00      !Hailar, China
MDJ          44.616  129.592  0  0.00  0.00      !Mudanjiang, China
QIZ          19.030  109.840  0  0.00  0.00      !Qiongzhong, China
ENH          30.280  109.500  0  0.00  0.00      !Enshi, China
YKW1         62.493 -114.509  0  0.00  0.00      !Yellowknife, Canada
YKW2         62.425 -114.605  0  0.00  0.00      !Yellowknife, Canada
YKW3         62.561 -114.616  0  0.00  0.00      !Yellowknife, Canada
YKW4         62.492 -114.742  0  0.00  0.00      !Yellowknife, Canada
BDF         -15.660  -47.900  0  0.00  0.00      !Brasilia (Distrito Federal, Brazil)
BDFB        -15.660  -47.900  0  0.00  0.00      !Brasilia (Distrito Federal, Brazil)
CAI          -6.53   -37.14   0  0.00  0.00      !Caico, Brazil
CMB          38.040 -120.390  0  0.00  0.00      !Columbia, California, USA
HRV          42.510  -71.558  0  0.00  0.00      !Harvard-Oak Rich, Massachusetts USA
AGD          11.529   42.824  0  0.00  0.00      !Djibouti/Arta Grotte
MBO          14.391  -16.955  0  0.00  0.00      !Mbourg, Senegal
SBB          45.280    4.540  0  0.00  0.00      !St. Sauveur Badole, France
MHC          37.342 -121.642  0  0.00  0.00      !Mt. Hamilton, California USA
SAO          36.765 -121.445  0  0.00  0.00      !San Andreas Geoph. Observ., California USA
PAS          34.148 -118.172  0  0.00  0.00      !Pasadena, California, USA
IPAS         34.148 -118.172  0  0.00  0.00      !Pasadena, California, USA
GUMO         13.590  144.870  0  0.00  0.00      !Guam
KONO         59.650    9.600  0  0.00  0.00      !Kongsberg                        
KON          59.650    9.600  0  0.00  0.00      !Kongsberg
NWAO        -32.930  117.240  0  0.00  0.00      !Narrogin
SHIO         25.570   91.880  0  0.00  0.00      !Shillong
TATO         24.980  121.490  0  0.00  0.00      !Taipei, Japan
ZOBO        -16.270  -68.120  0  0.00  0.00      !La Paz, Bolivia
ZLP         -16.270  -68.120  0  0.00  0.00      !La Paz, Bolivia
LPAZ        -16.27   -68.12   0  0.00  0.00      !La Paz, Bolivia
KAAO         34.540   69.040  0  0.00  0.00      !Kabul, Afghanistan
MAJO         36.540  138.210  0  0.00  0.00      !Matsushiro, Japan
SNZO        -41.310  174.700  0  0.00  0.00      !Wellington, New Zealand
AAE           9.030   38.770  0  0.00  0.00
AAM          42.300  -83.660  0  0.00  0.00                                       
ADE         -34.970  138.710  0  0.00  0.00      !Mt. Bonython
AFI         -13.909 -171.777  0  0.00  0.00      !Afiamalu, Samoa
AKU          65.690  -18.110  0  0.00  0.00                                       
ALQ          34.940 -106.460  0  0.00  0.00      !Albuquerque, New Mexico, USA
SNA         -70.320   -2.330  0  0.00  0.00                                       
ANT         -23.710  -70.420  0  0.00  0.00      !Antofagasta, Chile
ANM          34.950 -106.460  0  0.00  0.00                                       
AQU          42.350   13.400  0  0.00  0.00                                       
ARE         -16.460  -71.490  0  0.00  0.00                                       
ATL          33.430  -84.340  0  0.00  0.00                                       
ATU          37.970   23.720  0  0.00  0.00                                       
BAG          16.410  120.580  0  0.00  0.00                                       
BEC          32.380  -64.680  0  0.00  0.00      !Bermuda, Bermuda
CTFE         28.48   -16.26   0  0.00  0.00      !Tenerife, Canary Islands
PSF         -51.70   -57.87   0  0.00  0.00      !Port Stanley, Falkland Islands
REY          64.14   -21.91   0  0.00  0.00      !Reykjavik, Iceland
BHP           8.960  -79.560  0  0.00  0.00                                       
BKS          37.880 -122.240  0  0.00  0.00      !Berkeley, California USA                                 
BLA          37.210  -80.420  0  0.00  0.00                                       
LEM          -6.830  107.620  0  0.00  0.00                                       
BOG           4.620  -74.070  0  0.00  0.00                                       
BOZ          45.600 -111.630  0  0.00  0.00                                       
BUL         -20.140   28.610  0  0.00  0.00                                       
CAR          10.510  -66.930  0  0.00  0.00      !Caracas, Venezuela
CCG          77.170  -61.130  0  0.00  0.00                                       
CHG          18.790   98.980  0  0.00  0.00                                       
CMC          67.830 -115.080  0  0.00  0.00                                       
COL          64.900 -147.793  0  0.00  0.00      !College Outpost, Alaska USA
COP          55.680   12.430  0  0.00  0.00                                       
COR          44.590 -121.300  0  0.00  0.00                                       
DAL          32.850  -96.780  0  0.00  0.00                                       
DAV           7.090  125.580  0  0.00  0.00                                       
EIL          29.550   34.950  0  0.00  0.00                                       
JAS          37.950 -120.440  0  0.00  0.00                                       
JCT          30.480  -99.800  0  0.00  0.00                                       
DUG          40.200 -112.810  0  0.00  0.00                                       
GRM         -33.310   26.570  0  0.00  0.00                                       
ESK          55.320   -3.210  0  0.00  0.00                                       
FLO          38.800  -90.370  0  0.00  0.00                                       
GDH          69.250  -53.530  0  0.00  0.00                                       
GEO          38.900  -77.070  0  0.00  0.00                                       
