GRA1        +49.69188770  +11.22172020   1  -21.923    +37.862   !Graefenberg, F.R.G.
BLR          63.500 -145.840  0  0.00  0.00                                       
SCM          61.830 -147.330  0  0.00  0.00                                       
BIG          59.390 -155.220  0  0.00  0.00                                       
EDM          53.220 -113.350  0  0.00  0.00                                       
FSJ          54.430 -124.250  0  0.00  0.00                                       
SES          50.390 -111.040  0  0.00  0.00                                       
HHM          48.350 -114.030  0  0.00  0.00                                       
BUT          46.010 -112.560  0  0.00  0.00                                       
MHI          36.300   59.500  0  0.00  0.00                                       
DSH          38.550   68.770  0  0.00  0.00                                       
ANR          40.750   72.360  0  0.00  0.00                                       
NVS          54.900   83.300  0  0.00  0.00                                       
ELT          53.250   86.270  0  0.00  0.00                                       
UER          51.570   94.080  0  0.00  0.00                                       
OTT          45.390   75.720  0  0.00  0.00                                       
SDV           8.890   70.630  0  0.00  0.00                                       
MOX          50.650   11.620  0  0.00  0.00                                       
EDI          55.920    3.190  0  0.00  0.00                                       
EAU          55.840    3.450  0  0.00  0.00                                       
EAB          56.190    4.340  0  0.00  0.00                                       
TUL          35.910  -95.790  0  0.00  0.00                                       
SOF          42.400   23.180  0  0.00  0.00                                       
LEN          40.470   43.490  0  0.00  0.00                                       
ERE          40.100   44.310  0  0.00  0.00                                       
PYA          44.040   43.060  0  0.00  0.00                                       
TIM          45.450   21.150  0  0.00  0.00                                       
SHE          40.380   48.370  0  0.00  0.00                                       
SRI          36.450   49.260  0  0.00  0.00                                       
LVV          49.500   24.000  0  0.00  0.00                                       
BAK          40.220   49.530  0  0.00  0.00                                       
TEH          35.400   51.260  0  0.00  0.00                                       
CEY          45.470   14.200  0  0.00  0.00                                       
KMR          48.050   14.080  0  0.00  0.00                                       
CGL          39.130    9.080  0  0.00  0.00                                       
KAT          39.000   56.230  0  0.00  0.00                                       
MAIO         36.300   59.490  0  0.00  0.00                                       
ALM          36.500   -2.260  0  0.00  0.00                                       
SAM          39.400   66.570  0  0.00  0.00                                       
BCK          37.280   30.370  0  0.00  0.00                                       
ELL          36.430   29.560  0  0.00  0.00                                       
YER          37.080   28.160  0  0.00  0.00                                       
GPA          40.160   30.180  0  0.00  0.00                                       
BKT          40.120   27.020  0  0.00  0.00                                       
EDC          40.210   27.520  0  0.00  0.00                                       
SOD          67.260   26.350  0  0.00  0.00                                       
APA          67.320   33.210  0  0.00  0.00                                       
LIS          38.440   -9.080  0  0.00  0.00                                       
GOA          15.310   73.560  0  0.00  0.00                                       
NRI          69.210   88.020  0  0.00  0.00                                       
KIC           9.000   -7.000  0  0.00  0.00
VAR          25.200   83.000  0  0.00  0.00                                       
NPA         -15.090   39.140  0  0.00  0.00                                       
ZAK          50.240  103.150  0  0.00  0.00                                       
KMI          25.123  102.740  0  0.00  0.00     !Kunming, China
BDT          17.200   98.420  0  0.00  0.00                                       
FRB          63.450  -68.300  0  0.00  0.00     !Frobisher Bay, Canada
PRY         -26.700   31.000  0  0.00  0.00
EZN          39.460   26.200  0  0.00  0.00                                       
DMK          41.480   27.490  0  0.00  0.00                                       
TBZ          41.000   39.430  0  0.00  0.00                                       
VAY          41.190   22.340  0  0.00  0.00                                       
OHR          41.060   20.490  0  0.00  0.00                                       
KIM         -28.450   24.460  0  0.00  0.00                                       
CN2          43.500  125.200  0  0.00  0.00                                       
SUR         -32.240   20.400  0  0.00  0.00                                       
SEY          62.540  152.260  0  0.00  0.00                                       
CER         -33.230   19.190  0  0.00  0.00                                       
IPM           4.360  101.020  0  0.00  0.00                                       
MGD          59.380  150.500  0  0.00  0.00                                       
IMA          66.070 -153.680  0  0.00  0.00                                       
YKC          62.480 -114.470  0  0.00  0.00      !Yellowknife, Canada
FFC          54.720 -101.980  0  0.00  0.00                                       
SSH          62.170 -150.080  0  0.00  0.00                                       
PMR          61.590 -149.130  0  0.00  0.00                                       
PRM          34.080  -82.360  0  0.00  0.00                                       
BKB          -1.150  116.500  0  0.00  0.00                                       
FVM          37.980  -90.430  0  0.00  0.00                                       
RXF          48.860 -115.120  0  0.00  0.00                                       
MSO          46.830 -113.940  0  0.00  0.00                                       
LON          46.750 -121.810  0  0.00  0.00                                       
BMN          40.430 -117.220  0  0.00  0.00                                       
NPS          35.150   25.360  0  0.00  0.00                                       
ITM          37.110   21.550  0  0.00  0.00                                       
VLS          38.100   20.360  0  0.00  0.00                                       
KBN          40.380   20.440  0  0.00  0.00                                       
VLO          40.290   19.290  0  0.00  0.00                                       
KAS          41.220   33.470  0  0.00  0.00                                       
PHP          41.410   20.250  0  0.00  0.00                                       
BUC          44.250   26.070  0  0.00  0.00                                       
BCI          42.200   20.050  0  0.00  0.00                                       
TLB          44.310   28.030  0  0.00  0.00                                       
BZS          45.380   21.360  0  0.00  0.00                                       
IAS          47.090   27.380  0  0.00  0.00                                       
MNK          53.510   27.300  0  0.00  0.00                                       
AJM          26.290   74.400  0  0.00  0.00                                       
UKR          50.580   84.580  0  0.00  0.00                                       
DMN          20.250   72.580  0  0.00  0.00
SLR         -25.450   28.180  0  0.00  0.00                                       
KSR         -25.520   26.540  0  0.00  0.00                                       
BPI         -26.100   28.020  0  0.00  0.00                                       
HHC          40.490  111.370  0  0.00  0.00                                       
SCC          37.010 -122.000  0  0.00  0.00                                       
SHI          29.640   52.520  0  0.00  0.00                                       
SFS          36.460   -6.210  0  0.00  0.00                                       
ELO          56.470   -3.710  0  0.00  0.00                                       
GBA          13.600   77.440  0  0.00  0.00                                       
TUP          54.430  119.900  0  0.00  0.00                                       
GRR          48.390   -0.860  0  0.00  0.00                                       
GAC          45.700  -75.480  0  0.00  0.00      !Glen Almond, Canada
RSON         50.860  -93.700  0  0.00  0.00      !Red Lake, Canada
RSNY         44.550  -74.530  0  0.00  0.00      !Adirondack, New York, USA
RSSD         44.120 -104.040  0  0.00  0.00      !Black Hills, South Dakota, USA
RSNT         62.480 -114.590  0  0.00  0.00                                       
PAIG         39.930   23.680  0  0.00  0.00                                       
OUR          40.330   23.980  0  0.00  0.00                                       
THE          40.630   22.970  0  0.00  0.00                                       
SOH          40.820   23.350  0  0.00  0.00                                       
STB          50.600    6.840  0  0.00  0.00                                       
ENN          50.770    5.920  0  0.00  0.00                                       
SHI          29.640   52.530  0  0.00  0.00                                       
GUD          40.640   -4.150  0  0.00  0.00                                       
VAN          37.950   58.100  0  0.00  0.00                                       
SUF          62.720   26.150  0  0.00  0.00                                       
ECP          52.180   -6.370  0  0.00  0.00                                       
DLE          53.290   -6.540  0  0.00  0.00                                       
KJF          64.200   27.710  0  0.00  0.00                                       
DCN          53.340   -7.280  0  0.00  0.00                                       
SVE          56.810   60.640  0  0.00  0.00                                       
KHO          37.480   71.530  0  0.00  0.00                                       
NRN          41.430   76.000  0  0.00  0.00                                       
AAA          43.270   76.950  0  0.00  0.00                                       
KKN          27.790   85.280  0  0.00  0.00                                       
PKI          27.570   85.410  0  0.00  0.00                                       
GBA          13.600   77.440  0  0.00  0.00                                       
KOI          26.980   95.500  0  0.00  0.00                                       
LZH          36.087  103.844  0  0.00  0.00    !Lanzhou, China
JOZ         -27.440   32.080  0  0.00  0.00                                       
VIR         -28.080   26.860  0  0.00  0.00                                       
SCH          54.820  -66.780  0  0.00  0.00                                       
TUP          54.430  119.900  0  0.00  0.00                                       
HNME         46.160  -67.990  0  0.00  0.00                                       
EMM          44.740  -67.490  0  0.00  0.00                                       
PCT          14.680  101.410  0  0.00  0.00                                       
QUA          42.460  -72.370  0  0.00  0.00                                       
LNX          42.340  -73.270  0  0.00  0.00                                       
TSI           3.500   98.560  0  0.00  0.00                                       
PPI          -0.460  100.400  0  0.00  0.00                                       
FBA          64.900 -147.790  0  0.00  0.00                                       
TTA          62.930 -156.010  0  0.00  0.00                                       
PCA          60.100 -140.260  0  0.00  0.00                                       
KUR          45.230  147.870  0  0.00  0.00                                       
SIT          57.060 -135.320  0  0.00  0.00                                       
KDC          57.750 -152.490  0  0.00  0.00                                       
RLO          36.170  -95.030  0  0.00  0.00                                       
GBO          35.850  -95.180  0  0.00  0.00                                       
PNT          49.320 -119.620  0  0.00  0.00                                       
NEW          48.260 -117.120  0  0.00  0.00                                       
LCCM         45.840 -111.880  0  0.00  0.00                                       
LRM          45.820 -112.450  0  0.00  0.00                                       
WBN          48.020 -119.140  0  0.00  0.00                                       
RHP         -44.100  170.080  0  0.00  0.00                                       
SRS          41.120   23.590  0  0.00  0.00                                       
SRN          39.880   20.000  0  0.00  0.00                                       
KNT          41.160   22.900  0  0.00  0.00                                       
SDA          42.020   19.500  0  0.00  0.00                                       
CGN          44.170   26.000  0  0.00  0.00                                       
ISR          45.140   26.540  0  0.00  0.00                                       
CLO          45.070   22.800  0  0.00  0.00                                       
CMP          45.270   25.040  0  0.00  0.00                                       
COZ          45.320   24.340  0  0.00  0.00                                       
VTS          42.600   23.200  0  0.00  0.00                                       
CFR          45.190   28.150  0  0.00  0.00                                       
MLR          45.490   25.940  0  0.00  0.00                                       
BRD          45.520   27.050  0  0.00  0.00                                       
CVO          45.820   26.170  0  0.00  0.00                                       
CLI          46.550   27.280  0  0.00  0.00                                       
MII          47.460   26.070  0  0.00  0.00                                       
KBA          47.080   13.340  0  0.00  0.00                                       
TMA          46.110    8.870  0  0.00  0.00                                       
FRF          43.560    6.650  0  0.00  0.00                                       
LLS          46.870    9.000  0  0.00  0.00                                       
MMK          46.050    7.970  0  0.00  0.00                                       
CDR          43.670    5.770  0  0.00  0.00                                       
GRO          43.350   45.680  0  0.00  0.00                                       
SLE          47.770    8.490  0  0.00  0.00                                       
BAF          47.830    7.000  0  0.00  0.00                                       
GWF          48.980    7.620  0  0.00  0.00                                       
BRN          52.420   13.200  0  0.00  0.00                                       
BGG          50.210    7.340  0  0.00  0.00                                       
CRT          37.190   -3.600  0  0.00  0.00                                       
BLF         -29.110   26.190  0  0.00  0.00                                       
CBM          38.210  -77.370  0  0.00  0.00                                       
BSI           5.500   95.290  0  0.00  0.00                                       
BNH          44.590  -71.260  0  0.00  0.00                                       
CAN         -35.320  149.000  0  0.00  0.00                                       
SRS          41.120   23.590  0  0.00  0.00                                       
0UR          40.330   23.980  0  0.00  0.00                                       
MIM          45.240  -69.040  0  0.00  0.00                                       
CLE          41.490   81.530  0  0.00  0.00                                       
UTO          41.660   83.570  0  0.00  0.00                                       
PPR           9.770  118.730  0  0.00  0.00                                       
SAL          45.050    9.670  0  0.00  0.00                                       
ROB          40.630   48.630  0  0.00  0.00                                       
HOF          50.310   11.880  0  0.00  0.00                                       
PLES         50.240   12.380  0  0.00  0.00                                       
TIS          50.350   12.530  0  0.00  0.00                                       
SELB         50.210   12.160  0  0.00  0.00                                       
HOHE         50.100   12.230  0  0.00  0.00                                       
HEND         49.920   12.380  0  0.00  0.00                                       
ECM          39.260   76.880  0  0.00  0.00                                       
MEM          50.610    6.010  0  0.00  0.00       !Membach, Belgium
WTS          52.000    6.810  0  0.00  0.00                                       
IT1          35.420   50.690  0  0.00  0.00                                       
SHD          36.430   54.940  0  0.00  0.00                                       
LWI           2.240   28.800  0  0.00  0.00                                       
PSH          33.940   71.430  0  0.00  0.00                                       
KRD          43.380   75.050  0  0.00  0.00                                       
BOP          57.850  114.180  0  0.00  0.00                                       
PEK          40.040  116.180  0  0.00  0.00                                       
BGV          21.290  106.230  0  0.00  0.00                                       
MAG          59.550  150.800  0  0.00  0.00                                       
VIC          48.520  123.420  0  0.00  0.00                                       
QMB          53.760    1.860  0  0.00  0.00                                       
DMU          53.900    6.910  0  0.00  0.00                                       
KUL          37.900   69.750  0  0.00  0.00                                       
GAR          39.000   70.320  0  0.00  0.00                                       
BHK          31.420   76.420  0  0.00  0.00                                       
MDR          13.000   80.180  0  0.00  0.00                                       
ACO          36.700   99.150  0  0.00  0.00                                       
PKR          30.000   24.740  0  0.00  0.00                                       
KGM           2.020  103.320  0  0.00  0.00                                       
BDW          42.780  109.570  0  0.00  0.00      !Boulder, Wyoming, USA
BHG          47.720   12.880  0  0.00  0.00                                       
KER          34.350   47.110  0  0.00  0.00                                       
IR7          35.700   50.610  0  0.00  0.00                                       
MTE          40.400    7.540  0  0.00  0.00                                       
KUK           6.190    0.370  0  0.00  0.00                                       
PRZ          42.480   78.400  0  0.00  0.00                                       
CDU          30.660  104.010  0  0.00  0.00                                       
GYA          26.460  106.660  0  0.00  0.00                                       
BJI          40.040  116.175  0  0.00  0.00      !Beijing, China
CRO          34.150   94.560  0  0.00  0.00                                       
CVF          42.570    8.870  0  0.00  0.00                                       
OSS          46.690   10.140  0  0.00  0.00                                       
VDL          46.490    9.470  0  0.00  0.00                                       
SAX          47.250    9.340  0  0.00  0.00                                       
ROF          47.680    6.900  0  0.00  0.00                                       
GRC          47.300    3.070  0  0.00  0.00                                       
LDF          48.590    0.120  0  0.00  0.00                                       
MUD          56.460    9.170  0  0.00  0.00                                       
KHI          34.140   58.640  0  0.00  0.00                                       
IFR          33.520    5.130  0  0.00  0.00                                       
EKA          55.330    3.170  0  0.00  0.00                                       
ETA          52.700    6.210  0  0.00  0.00                                       
WMQ          43.821   87.695  0  0.00  0.00      !Urumqi, China
GTA          39.410   99.810  0  0.00  0.00                                       
YYI          26.570   94.680  0  0.00  0.00                                       
EVA          26.510   29.080  0  0.00  0.00                                       
NST          15.670  100.130  0  0.00  0.00                                       
SOB1          9.210   40.890  0  0.00  0.00                                       
VAM          35.410   24.200  0  0.00  0.00                                       
APE          37.070   25.530  0  0.00  0.00                                       
VNE          39.310   23.230  0  0.00  0.00                                       
VGL          39.450   22.880  0  0.00  0.00                                       
PRK          39.250   26.270  0  0.00  0.00                                       
BERA          0.000    0.000  0  0.00  0.00                                       
MMB          41.590   23.730  0  0.00  0.00                                       
PLD          42.100   24.700  0  0.00  0.00                                       
KKS          42.080   20.410  0  0.00  0.00                                       
PSN          43.680   28.180  0  0.00  0.00                                       
ANN          44.880   37.300  0  0.00  0.00                                       
KSP          50.840   16.290  0  0.00  0.00      !Ksiaz, Poland
MTA          41.700   44.800  0  0.00  0.00                                       
PLDF         45.970    3.620  0  0.00  0.00                                       
BFS         -26.900   26.780  0  0.00  0.00                                       
SEK         -28.320   27.630  0  0.00  0.00                                       
ATB          -3.290  -52.220  0  0.00  0.00                                       
BAO         -15.630  -47.990  0  0.00  0.00                                       
CCC          56.120 -122.300  0  0.00  0.00                                       
ABU          34.860  135.570  0  0.00  0.00                                       
KKM          27.790   85.280  0  0.00  0.00                                       
CNCB        -16.810  -67.980  0  0.00  0.00                                       
SKR          50.400  145.060  0  0.00  0.00                                       
KMU          42.140  142.580  0  0.00  0.00                                       
PTL          37.970   23.720  0  0.00  0.00                                       
JAN          39.660   20.850  0  0.00  0.00                                       
PAV           0.000    0.000  0  0.00  0.00                                       
KMA          42.260   20.240  0  0.00  0.00                                       
PNI          44.920    7.310  0  0.00  0.00                                       
STS          42.890   -8.550  0  0.00  0.00                                       
COI          40.210   -8.420  0  0.00  0.00                                       
MED           3.550   98.680  0  0.00  0.00                                       
NAV          37.320   80.790  0  0.00  0.00                                       
YKM          48.860 -115.710  0  0.00  0.00                                       
LDM          48.450 -115.320  0  0.00  0.00                                       
TOV           9.790  -69.790  0  0.00  0.00                                       
REX          43.810 -111.780  0  0.00  0.00                                       
WDC          40.580 -122.540  0  0.00  0.00                                       
MNV          38.430 -118.150  0  0.00  0.00                                       
ISK          41.070   29.060  0  0.00  0.00                                       
MIL          45.470    9.180  0  0.00  0.00                                       
WRA         -19.940 -134.340  0  0.00  0.00                                       
ASPA        -23.670 -133.900  0  0.00  0.00                                       
ORI          40.050   16.450  0  0.00  0.00                                       
BNOD        -26.930   27.470  0  0.00  0.00                                       
LCI          40.330   17.950  0  0.00  0.00                                       
VRI          45.870   26.730  0  0.00  0.00                                       
GIB          37.980   14.020  0  0.00  0.00                                       
ZST          48.200   17.100  0  0.00  0.00                                       
TIF          41.720   44.800  0  0.00  0.00                                       
PCN          45.050    9.670  0  0.00  0.00                                       
KRI         -16.830   29.610  0  0.00  0.00                                       
CIR         -21.010   31.580  0  0.00  0.00                                       
OII          38.150   15.690  0  0.00  0.00                                       
BRT          40.880   17.200  0  0.00  0.00                                       
CAT          37.510   15.100  0  0.00  0.00                                       
SPC          49.190   20.250  0  0.00  0.00                                       
ANS          43.550   13.460  0  0.00  0.00                                       
BOL          44.490   11.330  0  0.00  0.00                                       
STR          48.580    7.770  0  0.00  0.00                                       
ECH          48.220    7.160  0  0.00  0.00                                       
SSB          45.280    4.540  0  0.00  0.00                                       
HPK          53.960   -1.620  0  0.00  0.00                                       
DKM          53.260   -6.260  0  0.00  0.00                                       
DDK          53.390   -6.340  0  0.00  0.00                                       
TIO          30.930   -7.260  0  0.00  0.00                                       
SSE          31.100  121.190  0  0.00  0.00    !Shanghai, China
GPD          41.020  -74.460  0  0.00  0.00                                       
MSP          16.330  120.570  0  0.00  0.00                                       
AN7          40.820  -83.860  0  0.00  0.00                                       
AN12         36.790 -121.450  0  0.00  0.00                                       
AN8          40.240  -84.290  0  0.00  0.00                                       
TKL          35.660  -83.770  0  0.00  0.00                                       
WCB         -19.930  134.360  0  0.00  0.00                                       
STK         -31.880  141.590  0  0.00  0.00                                       
JAS1         37.950 -120.440  0  0.00  0.00                                       
CTA0        -20.090  146.250  0  0.00  0.00                                       
NRA0         60.735   11.541  0  0.00  0.00                                       
NRE0         60.735   11.541  0  0.00  0.00                                       
NE03         55.040    9.150  0  0.00  0.00                                       
NE04         52.810    6.670  0  0.00  0.00                                       
NE05         52.090    5.170  0  0.00  0.00                                       
NE06         50.100    4.590  0  0.00  0.00                                       
NE13         38.690   -4.090  0  0.00  0.00                                       
NE15         50.870    5.780  0  0.00  0.00                                       
NE16         45.760    3.100  0  0.00  0.00                                       
SNZO        -41.310  174.700  0  0.00  0.00                                       
RLS          38.060   21.470  0  0.00  0.00                                       
PLG          40.370   23.450  0  0.00  0.00                                       
KAR          24.930   67.140  0  0.00  0.00                                       
KBS           0.000    0.000  0  0.00  0.00                                       
BHA         -14.450   28.470  0  0.00  0.00                                       
MGN          40.920   32.180  0  0.00  0.00                                       
IR1          35.420   50.690  0  0.00  0.00                                       
RSCP         35.600  -85.590  0  0.00  0.00      !Cumberland Plateau, Tennessee, USA
HON          21.320 -158.010  0  0.00  0.00                                       
BGIO         31.770   35.200  0  0.00  0.00                                       
