 49.738  6.493
 50.882 13.894
 50.905 13.889
 50.783 13.829
 51.228 14.602
 51.160 13.471
 51.311 14.067
 51.263 14.134
 51.130 13.440
 50.910 13.962
 50.907 13.986
 50.902 14.189
 50.995 14.004
 50.956 14.034
 50.911 13.913
 51.136 14.246
 51.072 14.280
 51.066 14.309
 51.361 14.148
 51.195 14.129
 51.239 14.045
 51.254 14.131
 51.238 14.181
 51.251 13.937
 51.262 13.914
 51.494 14.061
 51.034 14.600
 51.038 14.548
 51.436 14.147
 51.381 14.189
 51.316 12.412
 51.102 13.003
 51.203 13.163
 51.434 12.788
 51.440 12.761
 51.386 12.775
 51.369 12.889
 51.263 12.718
 51.258 12.650
 51.279 12.716
 51.323 12.566
 51.383 13.658
 51.638 11.906
 51.550 12.123
 51.590 11.945
 51.735 11.166
 51.137 11.723
 51.255 12.148
 50.585 11.406
 50.653 11.491
 50.502 11.514
 50.945 11.984
 50.732 12.055
 50.879 12.122
 50.584 12.153
 50.410 11.628
 50.728 11.621
 50.549 11.765
 50.578 12.491
 50.499 12.240
 50.400 12.161
 50.405 12.117
 50.474 12.277
 50.472 12.314
 50.526 12.334
 50.577 12.234
 50.584 12.714
 50.879 12.779
 50.944 12.836
 51.025 13.170
 50.717 13.235
 51.039 12.765
 50.701 13.024
 50.590 12.954
 50.442 13.015
 50.655 13.241
 50.885 13.107
 50.836 13.151
 50.899 13.483
 50.986 12.987
 51.072 14.548
 51.121 14.383
 52.070  9.540
 52.299 11.068
 52.186  9.378
 52.209  9.163
 52.030  9.683
 52.186 10.232
 52.445  9.156
 52.290  8.698
 52.219  9.117
 52.198  9.294
 52.201  9.241
 50.696  8.231
 52.243  9.005
 52.267  8.770
 52.096  8.887
 51.933  9.250
 52.023  9.132
 51.631  9.146
 52.029  8.382
 51.223  9.856
 51.315  9.418
 50.876  9.480
 50.826  9.439
 51.209  9.621
 50.355  9.061
 50.350  9.667
 50.421 10.030
 51.336  9.380
 50.533 10.051
 50.421  9.653
 50.554  9.346
 50.497  9.336
 50.416  9.207
 50.559  9.951
 50.768 10.536
 50.498  9.842
 50.585 10.495
 50.735  9.965
 51.186  9.263
 50.710  9.784
 50.767  9.860
 51.149  9.253
 51.099  9.425
 51.053  9.430
 50.986  9.515
 50.957  9.222
 50.934  9.383
 50.667  9.848
 51.195  9.353
 51.224  9.945
 51.214  8.998
 51.399  8.831
 51.186  9.259
 51.150  9.253
 51.032  9.400
 51.047  9.420
 50.858  9.286
 51.063  8.902
 50.779  8.504
 50.754  8.453
 50.868  8.406
 50.749  8.973
 50.685  9.352
 50.440  7.964
 50.815  8.682
 50.515  9.033
 50.617  8.755
 50.608  8.786
 50.677  8.884
 50.469  8.748
 50.613  8.502
 50.288  8.615
 50.309  8.656
 50.486  8.380
 50.705  8.347
 50.486  8.381
 50.459  8.358
 50.553  9.681
 50.555  9.937
 50.500 10.010
 50.629  9.852
 50.424  9.197
 50.560  9.347
 50.426  9.662
 50.806  9.260
 50.730  9.366
 50.785 10.042
 50.655 10.120
 51.644 10.086
 51.981  9.471
 51.918  9.345
 51.744  9.310
 51.809  9.276
 51.938 10.335
 51.898 10.486
