PDE   2001 0209130742.62   -6.15  147.76  43         5.50 MwHRV   ...G .......
PDE   2001 0213142205.82   13.67  -88.94  10         6.60 MwHRV   .CFG ......S
PDE   2001 0213192830.26   -4.68  102.56  36         7.40 MwHRV   .FFG .......
PDE   2001 0214044535.64   -5.16  102.49  33         5.60 MwGS    ...G .......
PDE   2001 0214133639.59   48.54  153.30 147         5.80 mb GS   2FFG .......
PDE   2001 0214140425.61  -19.49  177.33  10         6.10 MwGS    ...G .......
PDE   2001 0214141659.18  -19.69  177.39  10         6.20 MwHRV   .F.G .......
PDE   2001 0215124659.43   -5.56  148.30 168         5.60 mb GS   ...G .......
PDE   2001 0216055909.48   -7.16  117.49 521         6.10 MwGS    4FFG .......
PDE   2001 0216131945.54  -15.35  -70.47 210         5.50 MwHRV   2F.G .......
PDE   2001 0217011731.42   13.06  -88.91  33         5.50 MwHRV   4F.G .......
PDE   2001 0217174926.90   20.25  122.43  33         5.50 MwHRV   3F.G .......
PDE   2001 0217201130      53.92 -133.61  20         6.20 MwGS    5F.G .......
PDE   2001 0218130453.42  -47.46   32.39  10         6.00 MwHRV   ...G .......
PDE   2001 0219143155     -45.10  -79.28  10         5.80 MwHRV   ...G .......
PDE   2001 0221152021.39  -11.28  -74.51  33         5.70 MwHRV   5F.G .......
PDE   2001 0221152220.84   -4.90  102.45  33         5.70 mb GS   ...G .......
PDE   2001 0221225029.80    6.62  126.92  75         5.50 MwHRV   ...G .......
PDE   2001 0222075551.54  -27.82  -71.46  29         5.60 MwHRV   ...G .......
PDE   2001 0222080255.08   17.45  -83.59  10         5.50 MwHRV   ...G .......
PDE   2001 0223000923.69   29.51  101.13  33         5.70 mb GS   .C.G .......
PDE   2001 0223235224.14  -30.72 -178.26  59         5.50 MwHRV   .F.G .......
PDE   2001 0223235328.46   53.76  169.01  33         5.50 MLPMR   ...G .......
PDE   2001 0224072348.73    1.27  126.25  35         7.10 MwGS    5FFG .......
PDE   2001 0224160747.73    1.56  126.35  33         5.80 MwHRV   3F.G .......
PDE   2001 0224163344.68    1.55  126.43  33         6.20 MwHRV   4F.G .......
PDE   2001 0224215354.19   37.22  142.15  33         5.90 MwHRV   4..G .......
PDE   2001 0224221232.01   -1.14   67.79  10         5.60 MwHRV   ...G .......
PDE   2001 0225022159.59   36.42   70.88 202         6.20 MwGS    .FFG .......
PDE   2001 0226055822.43   46.81  144.52 392         6.10 MwGS    3.FG .......
PDE   2001 0226060329.60  -43.31   39.28  10         5.60 MwHRV   ...G .......
PDE   2001 0228093516.55    6.58  126.85  60         5.80 MwGS    2F.G .......
PDE   2001 0228103104.42   -6.94  155.83  33         5.60 MwHRV   ...G .......
PDE   2001 0228123014.05  -21.99  170.21  10         6.70 MwHRV   ..FG .......
PDE   2001 0228130531.64  -22.00  170.11  10         6.30 MwHRV   ...G .......
PDE   2001 0228132129.07  -22.09  169.99  10         5.60 mb GS   .... .......
PDE   2001 0228185013.02   13.28  -88.83  65         6.10 MwGS    5F.G ......S
PDE   2001 0228185432.83   47.15 -122.73  51         6.80 MwHRV   8CFG ......M
PDE   2001 0301035954.47  -22.29  170.32  10         5.80 MwHRV   ...G .......
PDE   2001 0303115813.35  -38.77  -74.56  33         5.90 MwGS    2FFG .......
PDE   2001 0303175644.14  -49.74  117.54  10         5.50 MwHRV   ...G .......
PDE   2001 0305110834.96   28.56  129.00  79         5.50 MwHRV   4..G .......
PDE   2001 0305155006.96   34.37   86.90  33         5.90 MwHRV   ...G .......
PDE   2001 0306091736.08  -54.59  157.27  10         6.40 MwGS    ...G .......
PDE   2001 0306124923.29  -10.44  161.30  89         5.50 mb GS   2F.G .......
PDE   2001 0307000924.03  -10.43  161.30  89         5.70 MwGS    ...G .......
PDE   2001 0307181058.65   -6.81  -12.91  10         6.00 MwGS    ...G .......
PDE   2001 0308211124.58   -5.36  102.19  33         5.60 mb GS   3F.G .......
PDE   2001 0311005040.49  -25.37 -177.97 231         5.80 MwGS    ...G .......
PDE   2001 0312140219.43  -35.00 -179.56  33         5.60 MwHRV   ...G .......
