      1990  121131011.08    2.675 -79.802 40.3       5.000
      1990  121164344.80  -21.071-173.833 33.0       5.100
      1990  122 232 4.33  -20.956-173.879 38.0       5.500
      1990  122 5 853.71  -22.080 170.022 33.0       5.100
      1990  122 82534.18  -31.549-178.123 33.0       5.300
      1990  122172612.15    3.848  96.103 51.4       6.000
      1990  123 747 9.48  -12.463 -75.081104.8       5.500
      1990  123132919.18   37.419 141.752 33.0       5.000
      1990  123204446.56   19.057 121.358 33.0       5.100
      1990  124 75358.29  -23.629 -70.248 10.0       5.000
      1990  12410 613.35   49.069 155.549 44.4       5.300
      1990  124193331.05   14.582 119.455 23.1       5.600
      1990  1242047 8.81   42.358-126.267 10.0       5.000
      1990  125 62940.24  -31.281-178.001197.3       5.000
      1990  126 32626.04  -26.644-176.391 33.0       5.000
      1990  127 03454.89   -6.889 130.352111.6       5.100
      1990  127231813.95  -38.599 -74.605 10.0       5.000
      1990  128 35847.13   -5.960 105.640 82.6       5.400
      1990  128111532.87  -16.568 167.429 33.0       5.100
      1990  129 01642.91   51.715-175.272 46.2       5.000
      1990  129 24126.30   18.750-102.192 37.7       5.400
      1990  129195058.26   27.195 129.432 33.0       5.200
      1990  129203420.27    6.094  94.696 97.2       5.000
      1990  129205725.41   51.985-169.525 33.0       5.000
      1990  130 315 2.13   42.984 145.482 41.4       5.500
      1990  130181413.09  -23.297 179.056549.9       5.400
      1990  2 1 12532.91   -9.825 160.111 53.9       5.000
      1990  2 1 5 623.19   -2.670 134.998 47.9       5.200
      1990  2 1111624.28    7.955 126.977 71.2       5.000
      1990  2 1183353.84    8.238 126.769 64.3       5.300
      1990  2 2 12821.88  -25.378  70.099 10.0       5.200
      1990  2 21449 9.33  -18.388 176.929 10.0       5.600
      1990  2 2183446.76  -17.936-178.378576.1       5.500
      1990  2 2185341.53   -5.314 151.168 60.2       5.600
      1990  2 3 44338.19   -2.953 126.154 44.2       5.100
      1990  2 3 73054.36   18.691 -64.644 61.9       5.000
      1990  2 3 95453.20   50.986-130.693 18.0       5.100
      1990  2 312 451.03   -7.054 129.207174.3       5.000
      1990  2 3222730.21   -2.323 125.004 33.0       5.200
      1990  2 4 2 223.41   28.112 130.008 24.9       5.100
      1990  2 4 75814.04  -10.243 110.311 47.2       5.700
      1990  2 4125057.49   -4.804 153.273 65.2       5.200
      1990  2 4202614.59  -22.311 -68.492113.3       5.200
      1990  2 5 51645.14   37.069  71.273101.8       6.100
