GS    1979  1 1 02118.60   32.430 141.651 32.0       5.2004.9Z            0X    0
GS    1979  1 1 2 832.80  -10.206 161.653 86.0       5.100                0X    0
GS    1979  1 1122355.30  -14.377 167.451190.0       5.200                0X    0
ISC   1979  1 1122357.45  -14.530 167.352205.2       5.130                0X    0
ISC   1979  1 11329 5.55  -27.240-175.694 48.0D 3    5.2114.7  1          0X    0
GS    1979  1 11329 6.10  -27.125-175.874 51.0D      5.300                0X    0
GS    1979  1 1155610.80* -56.146 -28.653288.0       5.100                0X    0
GS    1979  1 1185110.80   20.898  93.752 62.0D      5.300                0X    0
GS    1979  1 1194224.90  -10.805 165.152 36.0       5.200                0X    0
ISC   1979  1 1203045.87  -17.953-178.555557.1       5.124                0X    0
GS    1979  1 1203046.20  -17.798-178.643555.0       5.100                0X    0
GS    1979  1 1231438.90P  33.950-118.683 11.0       5.1004.7Z  5.00MLPA  0X    0
GS    1979  1 2 8 4 8.30    4.538  61.993 10.0G      5.0004.5Z            0X    0
ISC   1979  1 2 8 410.56    4.727  62.042 16.2D 3    5.0314.6  7          0X    0
GS    1979  1 2134444.00  -29.017-178.248136.0       5.100                0X    0
GS    1979  1 2135350.80   51.679-173.383 31.0       5.1004.8Z            0X    0
GS    1979  1 2135551.50   51.601-173.311 33.0N      5.200                0X    0
GS    1979  1 2195045.90    4.846  62.082 10.0G      5.1004.7Z            0X    0
ISC   1979  1 3 23553.90    4.659  61.979 33.0A      5.130                0X    0
ISC   1979  1 3 54229.18    3.637 126.324 40.5       5.140                0X    0
GS    1979  1 3 54231.80*   3.540 126.195 64.0       5.100                0X    0
GS    1979  1 3 63851.20   21.945 120.721 38.0D      5.1004.9Z            0X    0
GS    1979  1 313 656.10    5.789 126.589 75.0       5.200                0X    0
ISC   1979  1 313 656.15    5.894 126.783 78.7       5.040                0X    0
GS    1979  1 32149 3.70   47.962 155.081 33.0N      5.000                0X    0
GS    1979  1 4 210 2.90   -3.098 147.583 20.0       5.3005.2Z            0X    0
GS    1979  1 4 92548.80  -21.508-178.579532.0       5.100                0X    0
ISC   1979  1 4171435.83  -16.381-177.456 33.0A      5.010                0X    0
GS    1979  1 4193647.40   11.997 142.994 42.0       5.100                0X    0
GS    1979  1 5 21039.60  -56.424 -26.797 33.0N      5.100                0X    0
ISC   1979  1 5 53127.41  -20.917-173.778 33.0A      5.010                0X    0
GS    1979  1 5 53127.80  -20.826-174.168 33.0N      5.300                0X    0
GS    1979  1 5 92017.40   32.602 141.554 29.0       5.2005.0Z            0X    0
GS    1979  1 5 92938.40  -15.926 -74.930 28.0       5.100                0X    0
GS    1979  1 5212240.00    1.608 127.343139.0       5.000                0X    0
GS    1979  1 6 02115.80  -29.630 -71.441 39.0       5.100                0X    0
ISC   1979  1 6 11024.38   -7.025  68.012 10.0A      4.6605.3  1          0X    0
GS    1979  1 6 13147.60   -8.883 -75.728 33.0N      5.7005.5Z  5.70UKBR  0X    0
GS    1979  1 6114942.40   -0.043 126.595 74.0       5.100                0X    0
ISC   1979  1 6114942.77    0.133 126.772 79.4       5.030                0X    0
GS    1979  1 6115130.70   18.270-102.785 32.0D      5.2004.8Z  4.80UKBR  0X    0
ISC   1979  1 7 02523.27  -22.817-175.324 26.4       5.4305.4 16          0X    0
GS    1979  1 7 02523.50  -22.945-175.464 33.0N      5.5005.4Z  5.40UKBR  0X    0
GS    1979  1 7 2 341.20   -4.400 153.432 98.0       5.400                0X    0
GS    1979  1 71051 1.40  -27.984-176.599 29.0D      5.5005.6Z  6.00UKBR  0X    0
GS    1979  1 8 03952.90   41.962 142.514 70.0       5.000                0X    0
GS    1979  1 8 727 4.80   -4.169 135.989 33.0N      5.5005.3Z            0X    0
GS    1979  1 8121224.10   44.016 148.284 33.0N      5.2004.4Z            0X    0
GS    1979  1 81910 6.70* -32.651-179.367 32.0       5.1005.1Z            0X    0
ISC   1979  1 81910 6.99  -32.481-179.540 31.9       5.1305.1  1          0X    0
GS    1979  1 9162324.30* -33.149-177.674 33.0N      5.200                0X    0
GS    1979  110 126 9.00   26.609  60.925 33.0N      5.6005.8Z  6.00UKPA  3A  836
GS    1979  110 42924.70   15.927 -96.536 33.0N      5.100                0X    0
GS    1979  110132414.30   16.944 -93.543156.0D      5.600                0X    0
GS    1979  11015 548.00   26.519  61.013 33.0N      5.6005.9Z  6.10UKPA  3A  837
GS    1979  111 62813.70   -4.080 101.252 32.0D      5.7006.2Z  6.00UKPA  0X    0
GS    1979  111 72658.50*  -4.047 101.253 33.0N      5.200                0X    0
GS    1979  112 359 1.90   14.286 -91.534 95.0       5.400      6.10UKPA  0X    0
ISC   1979  112 94434.99   -1.727 133.871 36.4       5.320                0X    0
GS    1979  1121449 1.70   35.596 -17.192 11.0D      5.3004.8Z            0X    0
ISC   1979  112154641.26   -5.532 146.997213.0       5.110                0X    0
ISC   1979  112224456.80    4.776  62.252 10.0A      5.015                0X    0
GS    1979  113 83910.40  -24.307 -67.803103.0       5.300                0X    0
ISC   1979  1131539 3.20  -15.971 168.081234.0       5.090                0X    0
ISC   1979  113193338.65  -35.606 -16.170 24.4D11    5.2335.8 15          0X    0
GS    1979  113193339.90  -35.204 -16.628 10.0G      5.2005.6Z            0X    0
GS    1979  113224751.90   13.999 145.549102.0       5.000                0X    0
GS    1979  114 14114.00   11.687 141.241 49.0D      5.1004.8Z            0X    0
ISC   1979  114111741.93   -1.631 133.456 51.6       5.110                0X    0
GS    1979  114122917.70  -22.525-179.302494.0       5.200                0X    0
ISC   1979  1141513 5.06   53.248 170.230  9.6       5.0674.6 10          0X    0
GS    1979  114192030.20    6.746 -72.985164.0D      5.100                0X    0
ISC   1979  116 016 9.73  -21.232 -68.478137.8       5.310                0X    0
GS    1979  116 71331.00   52.499-167.921 44.0D      5.5005.2Z  5.10UKBR  3B 1539
GS    1979  116 95010.10   33.897  59.472 33.0N      5.9006.7Z  6.90UKBR  3A  734
ISC   1979  116144659.53  -30.732 -71.730 64.5       5.140                0X    0
GS    1979  11615 5 5.20  -45.560  96.184 10.0G      5.8006.1Z            0X    0
GS    1979  116192710.10   38.262  15.005 11.0       4.0005.5Z            0X    0
GS    1979  117 32949.50   33.759  57.096 33.0N      5.100                0X    0
GS    1979  117 75955.70   47.883  48.128  0.0G      6.000                3A  735
GS    1979  1171416 1.40   -9.511 161.080 93.0       5.700                0X    0
GS    1979  1171812 9.00   13.446 145.992 61.0D      5.200                0X    0
GS    1979  117183745.50   13.455 146.063 47.0       5.000                0X    0
GS    1979  11719 940.40   52.932 159.918 48.0       5.2005.4Z            0X    0
GS    1979  117192710.80   13.406 145.988 55.0D      5.500                0X    0
GS    1979  117193323.20    1.866 126.697 65.0D      5.300                0X    0
ISC   1979  118 02458.17   34.025  59.587  0.7       5.0564.5  7          0X    0
GS    1979  118 025 2.60   33.915  59.466 33.0N      5.0004.6Z            0X    0
GS    1979  118135039.70   -7.290 123.150578.0       5.300                0X    0
GS    1979  119115615.00   41.535 143.919 17.0D      5.5005.3Z            0X    0
GS    1979  119192945.20   33.913  59.377 33.0N      5.0004.3Z            0X    0
GS    1979  119194644.90*  44.517 149.102 32.0       5.0004.1Z            0X    0
GS    1979  120 45551.80*  33.383 141.130 53.0       5.100                0X    0
GS    1979  120 51545.90   -7.379 128.485156.0       5.200                0X    0
GS    1979  120134959.00   38.670  12.860  9.0D      5.2004.9Z            0X    0
ISC   1979  120163058.31  -28.029 -71.341 33.0A      5.010                0X    0
GS    1979  120163058.70* -28.044 -71.149 33.0N      5.100                0X    0
GS    1979  120175517.90  -22.323-179.532581.0       5.300                0X    0
GS    1979  121 11110.70  -31.532  76.514 10.0G      5.200                0X    0
GS    1979  121123347.70   -8.652 -74.879134.0       5.000                0X    0
GS    1979  122 15227.40    4.876  62.214 11.0D      5.100                0X    0
GS    1979  122 42545.70   19.205 -64.600 45.0D      5.1005.1Z            0X    0
ISC   1979  122 42546.77   19.101 -64.696 50.8       5.1345.1  7          0X    0
GS    1979  122175136.10   51.129 175.181 33.0N      5.4004.5Z            0X    0
GS    1979  122212617.60* -10.274 161.477 72.0       5.100                0X    0
GS    1979  123125845.20   -5.266 145.672100.0       5.300                0X    0
GS    1979  123214320.20  -17.496 167.859 33.0N      5.300                0X    0
GS    1979  124 13059.40   -6.239 155.225160.0D      5.500                0X    0
GS    1979  124 238 4.90* -10.918 162.044 73.0       5.000                0X    0
ISC   1979  12423 333.02  -10.595 -79.345 33.0A      5.010                0X    0
GS    1979  125 4 814.20  -29.937-177.455 14.0       6.0006.4Z  6.50UKBR  0X    0
ISC   1979  125 942 6.90  -26.805  26.646  2.0A      5.010                0X    0
GS    1979  125151446.50   43.903  86.768 33.0N      5.000                0X    0
GS    1979  12517 544.70   52.515-176.041156.0D      5.100                0X    0
GS    1979  1251930 6.10   60.131-153.121105.0D      5.500                3B 1540
GS    1979  12521 321.00   50.501 148.902575.0       5.400                4A 1583
GS    1979  1252352 2.50   -7.193 120.051557.0       5.400                0X    0
ISC   1979  126 11738.71   24.469-111.875 33.0A      5.010                0X    0
GS    1979  12610 432.00   17.413-100.877 41.0       5.8006.6Z  6.90UKBR  0X    0
ISC   1979  12610 433.55   17.532-100.787 45.1       5.8996.6             0X    0
GS    1979  126171044.10   17.554-100.988 39.0       5.4005.6Z  5.70UKBR  0X    0
GS    1979  126201738.60   17.489-101.064 43.0       5.4005.0Z  5.10UKBR  0X    0
ISC   1979  126202413.40  -20.067-175.801209.9       5.1205.6  2          0X    0
GS    1979  126202414.10  -20.075-175.953212.0D      5.200                0X    0
GS    1979  127 7 348.60  -30.573-177.782 33.0N      5.5005.0Z            0X    0
GS    1979  12715 339.20  -22.040 -68.482 87.0       5.300                0X    0
ISC   1979  12715 342.79  -22.309 -68.565117.6       5.113                0X    0
GS    1979  1271815 0.00  -18.544 168.207 25.0D      5.8006.3Z  6.00UKBR  0X    0
GS    1979  127185755.00   54.768-161.250 17.0       6.0006.0Z  5.80UKBR  0X    0
ISC   1979  12721 8 1.22   -3.414 135.042 33.0A      5.010                0X    0
GS    1979  128 22253.20   16.877 -98.133 53.0       5.1004.8Z            0X    0
GS    1979  128191930.40   12.045 -43.786 10.0G      5.1004.3Z            0X    0
GS    1979  128194521.50   11.927 -43.727 22.0D      5.8005.6Z  5.40UKPA  0X    0
GS    1979  12820 0 9.90*  11.998 -43.652 10.0G      5.100                0X    0
ISC   1979  128222148.01   12.393 -44.946  0.0A      5.020                0X    0
ISC   1979  128222715.38   12.001 -43.801 10.0A      5.3704.6  1          0X    0
GS    1979  128233059.90   12.061 -43.907 19.0D      5.2004.6Z            0X    0
GS    1979  129 05034.60   12.376 -43.778 10.0G      5.0004.4Z            0X    0
GS    1979  129 32244.60  -31.228 -68.645 10.0G      5.100                0X    0
ISC   1979  129 32245.53  -31.260 -68.362 10.0A      5.040                0X    0
GS    1979  129 35833.70  -16.282  67.181 10.0G      5.100                0X    0
GS    1979  129 543 0.80  -24.658 179.958503.0D      5.500                0X    0
GS    1979  129182149.10   17.596-100.977 33.0N      5.2005.1Z            0X    0
GS    1979  129182932.30   17.593-100.979 33.0N      5.0004.9Z            0X    0
